central_bank_code,target_family,target_indicator_key,target_indicator,feature_indicator_key,feature_indicator,feature_category,observations,same_category,lag_score,correlation_score,pca_score,selected_lag,selection_reason,selection_score
BOC,gdp_growth,gdp_mom,GDP (MoM),cfib_business_barometer,CFIB Business Barometer,Sentiment,55,False,0.0,0.3631800636556582,0.2645266355697165,1,"correlated_with_target,pca_driver",0.21738301443215494
BOC,unemployment,unemployment_rate,Unemployment Rate,exports,Exports,Trade,76,False,0.0,0.7875321295728703,0.2886449814289138,1,"correlated_with_target,pca_driver",0.3745563860861981
BOC,unemployment,unemployment_rate,Unemployment Rate,cpi_headline_yoy,Headline CPI (YoY),Inflation,76,False,0.0,0.7034072156550025,0.3886655144833463,1,"correlated_with_target,pca_driver",0.3643219918690027
BOC,unemployment,unemployment_rate,Unemployment Rate,full_time_employment_change,Full-Time Employment Change,Labor,76,True,0.0,0.171401375308536,0.2939698828103399,1,"correlated_with_target,pca_driver,same_macro_theme",0.3405158950141118
BOC,unemployment,unemployment_rate,Unemployment Rate,budget_balance,Budget Balance,Growth,74,False,0.0,0.6927581555027283,0.2516379907446192,1,"correlated_with_target,pca_driver",0.3380731452625114
BOC,unemployment,unemployment_rate,Unemployment Rate,part_time_employment_change,Part-Time Employment Change,Labor,76,True,0.0,0.0138049776208652,0.2598300173507031,1,"correlated_with_target,pca_driver,same_macro_theme",0.28811599588886505
BOC,unemployment,unemployment_rate,Unemployment Rate,manufacturing_pmi,Manufacturing PMI,Growth,49,False,0.0,0.4106409510171975,0.3679183096955488,1,"correlated_with_target,pca_driver",0.23963003175949157
BOC,unemployment,unemployment_rate,Unemployment Rate,balance_of_trade,Balance of Trade,Trade,76,False,0.0,0.3563471801378595,0.2338486366816714,1,"correlated_with_target,pca_driver",0.23698144954360856
BOC,unemployment,unemployment_rate,Unemployment Rate,ppi_yoy,PPI (YoY),Inflation,76,False,0.0,0.2426760616643651,0.2850960545906697,1,"correlated_with_target,pca_driver",0.21056722668791
BOC,unemployment,unemployment_rate,Unemployment Rate,new_housing_price_index_mom,New Housing Price Index (MoM),Housing,65,False,0.0,0.2729555439967596,0.3142587968528253,1,"correlated_with_target,pca_driver",0.21027548272695168
BOC,unemployment,unemployment_rate,Unemployment Rate,raw_materials_prices_mom,Raw Materials Prices (MoM),Inflation,75,False,0.0,0.2264695295549212,0.217349393707546,1,"correlated_with_target,pca_driver",0.19429326792260826
BOC,unemployment,unemployment_rate,Unemployment Rate,retail_sales_yoy,Retail Sales (YoY),Growth,74,False,0.0,0.2494552604237339,0.1666807823077939,1,"correlated_with_target,pca_driver",0.19233869547328925
BOC,unemployment,unemployment_rate,Unemployment Rate,ivey_pmi_sa,Ivey PMI s.a.,Growth,72,False,0.0,0.195399470983481,0.2313669662300276,1,"correlated_with_target,pca_driver",0.18332488622954846
BOC,unemployment,unemployment_rate,Unemployment Rate,cpi_headline_mom,Headline CPI (MoM),Inflation,72,False,0.0,0.1961115380602819,0.1987183854875247,1,"correlated_with_target,pca_driver",0.1786412192412133
