central_bank_code,target_family,target_indicator_key,target_indicator,model,feature,importance
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,ppi_yoy_lag3,0.007999178928919472
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,core_cpi_mom_ma3,0.007675051231019393
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,balance_of_trade_ma6,0.006917301753265747
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,ppi_yoy_lag6,0.006512067396540435
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,core_cpi_mom_lag6,0.006473117214020081
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cpi_headline_yoy_ma3,0.006377192950546759
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cfib_business_barometer_lag6,0.005628997311191593
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,core_cpi_mom_lag3,0.005292860185138889
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cpi_headline_mom_lag3,0.004410926132996261
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,budget_balance_lag3,0.004393231612802343
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,budget_balance_lag6,0.0033342506518620318
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,raw_materials_prices_mom_lag3,0.0031571411158353817
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,ppi_mom_lag3,0.0031173006004808633
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,unemployment_rate_lag3,0.0030776576621429756
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,exports_lag3,0.0029855002398001245
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,manufacturing_pmi_lag3,0.002631926929081953
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,budget_balance_lag1,0.0024424366388498585
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,retail_sales_yoy_lag3,0.0022291183604340077
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cpi_headline_mom_lag1,0.002115328936453646
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,raw_materials_prices_mom_lag1,0.001885424963355701
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,balance_of_trade_lag6,0.001852860373938855
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,exports_ma3,0.0012729832932965404
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,cfib_business_barometer_ma3,0.001142628238312834
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,new_housing_price_index_yoy_lag6,0.37685919181776933
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,target_current,0.24512553156393702
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cpi_headline_yoy_lag1,0.09373182155416122
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,ppi_yoy_lag3,0.048912388805639015
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,ppi_yoy_ma6,0.04220564271575667
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,ppi_yoy_lag6,0.03983121576321302
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,balance_of_trade_ma6,0.03100194120993676
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,target_lag1,0.023658748280209082
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cpi_headline_yoy_ma3,0.01572898764595508
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,exports_ma3,0.011410654890617978
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,retail_sales_yoy_ma3,0.00989165724026094
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,exports_lag1,0.009058077857211449
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cpi_headline_mom_ma3,0.004519476085882358
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cpi_headline_yoy_lag3,0.0041464317796079215
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,ppi_yoy_ma3,0.004055220945418781
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cpi_headline_mom_ma6,0.0036583412036381466
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,ppi_mom_lag6,0.003183327129238242
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,balance_of_trade_lag3,0.0023145797182384307
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,budget_balance_lag1,0.001957802214937313
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,ppi_yoy_lag1,0.0019483884515627394
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,budget_balance_ma3,0.0018637095122086072
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,budget_balance_ma6,0.0018335827746605547
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,raw_materials_prices_mom_ma6,0.0016315982949591933
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,balance_of_trade_lag6,0.0016097722731713115
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,ppi_mom_ma6,0.00149691002692736
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,unemployment_rate_lag6,0.0013998776929548355
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,retail_sales_yoy_lag3,0.0013309158132629117
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,balance_of_trade_ma3,0.0012999823490065265
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,exports_lag3,0.001279954649484474
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cpi_headline_mom_lag3,0.0011447232695501143
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,balance_of_trade_lag1,0.0010364252941861994
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cfib_business_barometer_lag3,0.0007261245718004557
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,unemployment_rate_lag1,0.0007013170187207037
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,exports_ma6,0.0006961122275704357
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,retail_sales_yoy_ma6,0.0006670355674818296
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,ppi_yoy_lag1_x_ppi_yoy_lag3,0.0006551189768245423
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,unemployment_rate_ma3,0.0005184944319755866
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,raw_materials_prices_mom_lag6,0.00046875007117660946
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,raw_materials_prices_mom_lag1,0.0004217864735624663
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,manufacturing_pmi_lag1,0.00041807099400104937
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,new_housing_price_index_yoy_lag1,0.00040611028993766665
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cpi_headline_yoy_lag6,0.0003699689429018609
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cfib_business_barometer_ma3,0.00036782514594854845
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,ppi_mom_lag3,0.000366662237485238
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,exports_lag6,0.0003382230701897349
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cpi_headline_mom_lag1,0.0003187576670085204
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,raw_materials_prices_mom_lag3,0.00030544970617531306
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cpi_headline_yoy_ma6,0.0002823430634497573
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,new_housing_price_index_yoy_lag3,0.00026057884456229366
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,new_housing_price_index_yoy_ma6,0.00024627641790623335
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,retail_sales_yoy_lag6,0.00023044215099109628
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,ppi_mom_ma3,0.0002136710951515505
