central_bank_code,target_family,target_indicator_key,target_indicator,model,feature,scenario,baseline_prediction,scenario_prediction,prediction_delta
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,cpi_ex_food_energy_yoy_lag3,stress_2sd,-0.737038616616844,-0.737038616616844,0.0
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_lag1,positive_1sd,-0.009560162443128987,-0.009560162443128987,0.0
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_lag1,negative_1sd,-0.009560162443128987,0.04301370936098773,0.05257387180411672
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_lag1,stress_2sd,-0.009560162443128987,-0.009560162443128987,0.0
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_lag3,positive_1sd,-0.009560162443128987,-0.008030702103308435,0.0015294603398205518
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_lag3,negative_1sd,-0.009560162443128987,0.07684831322393779,0.08640847566706678
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_lag3,stress_2sd,-0.009560162443128987,-0.008030702103308435,0.0015294603398205518
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_lag6,positive_1sd,-0.009560162443128987,-0.008858221237832113,0.0007019412052968743
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_lag6,negative_1sd,-0.009560162443128987,-0.009636184956338036,-7.602251320904842e-05
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_lag6,stress_2sd,-0.009560162443128987,-0.008858221237832113,0.0007019412052968743
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_ma3,positive_1sd,-0.009560162443128987,0.08693860575933114,0.09649876820246013
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_ma3,negative_1sd,-0.009560162443128987,0.026689570742452436,0.036249733185581424
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_ma3,stress_2sd,-0.009560162443128987,0.08693860575933114,0.09649876820246013
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_ma6,positive_1sd,-0.009560162443128987,-0.006363838109984123,0.0031963243331448645
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_ma6,negative_1sd,-0.009560162443128987,-0.0019793636832708384,0.007580798759858148
