central_bank_code,target_family,target_indicator_key,target_indicator,model,split,observations,rmse,mae,mape_pct
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,12,0.19092123252360818,0.16063641637776518,48.12503989651786
BOC,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,test,12,0.10153497067828318,0.07754861480305908,259.82427886386444
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,validation,12,0.4388144065682782,0.39966170937302686,85.36483087143912
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ridge,test,12,0.3955733770615977,0.3171646948690388,698.5461523340065
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,validation,12,0.20879399545590205,0.16920778090328567,51.26899753484818
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,test,12,0.15036674134997818,0.1193610773029619,599.4160921921581
BOC,inflation,core_cpi_yoy,Core CPI (YoY),hist_gradient_boosting,validation,12,0.25610001081394407,0.19323159436556614,65.63154172354803
BOC,inflation,core_cpi_yoy,Core CPI (YoY),hist_gradient_boosting,test,12,0.43009275963866545,0.4083613567613029,3577.475272843881
BOC,gdp_growth,gdp_mom,GDP (MoM),persistence_baseline,validation,12,0.14889602441909766,0.11945861885917401,263.2373921017686
BOC,gdp_growth,gdp_mom,GDP (MoM),persistence_baseline,test,12,0.14999220626861592,0.10665948112426253,264.34955426890923
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,validation,12,1.3851479634110944,0.9908832675505767,2434.384438454731
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,test,12,1.5569646554003982,1.2755940914288415,4366.671488883562
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,validation,12,0.12961162816838173,0.09615622912186939,189.83866063149677
BOC,gdp_growth,gdp_mom,GDP (MoM),random_forest,test,12,0.19993497798431606,0.1679522611743759,454.247502371241
BOC,gdp_growth,gdp_mom,GDP (MoM),hist_gradient_boosting,validation,12,0.36551407844196443,0.3030088690434572,751.6461675693168
BOC,gdp_growth,gdp_mom,GDP (MoM),hist_gradient_boosting,test,12,0.5310375722531236,0.45655094359666676,1364.0096771774301
BOC,unemployment,unemployment_rate,Unemployment Rate,persistence_baseline,validation,12,0.08198369469945188,0.06497977827775799,137.46782877523927
BOC,unemployment,unemployment_rate,Unemployment Rate,persistence_baseline,test,12,0.11139390561901362,0.08354542921426017,150.07230499597395
BOC,unemployment,unemployment_rate,Unemployment Rate,ridge,validation,12,0.5794007099505368,0.5310432636018405,767.9772211878415
BOC,unemployment,unemployment_rate,Unemployment Rate,ridge,test,12,1.0430653736702757,0.9022944115904075,1802.0548415650724
BOC,unemployment,unemployment_rate,Unemployment Rate,random_forest,validation,12,0.2234183587551391,0.18544779410441817,252.6876811151593
BOC,unemployment,unemployment_rate,Unemployment Rate,random_forest,test,12,0.17007808416204093,0.13344498794184198,150.37058514748392
BOC,unemployment,unemployment_rate,Unemployment Rate,hist_gradient_boosting,validation,12,0.38155061711340016,0.33646962062876334,492.58172987997233
BOC,unemployment,unemployment_rate,Unemployment Rate,hist_gradient_boosting,test,12,0.249107933884795,0.19770839744860128,453.0781858391685
BOE,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,12,0.16123377606139816,0.14080965890570998,1361.433641846804
BOE,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,test,12,0.0817604471065412,0.06813370592211766,362.10975713251156
BOE,inflation,core_cpi_yoy,Core CPI (YoY),ridge,validation,12,0.2903534158228411,0.26371641618436237,743.5374722129061
BOE,inflation,core_cpi_yoy,Core CPI (YoY),ridge,test,12,1.0956409916042096,1.0271196660639783,4610.99378859233
BOE,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,validation,12,0.35159558190118334,0.2943106748122381,844.0197276009334
BOE,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,test,12,0.4000345006740455,0.3616915901306316,2084.38624001306
BOE,inflation,core_cpi_yoy,Core CPI (YoY),hist_gradient_boosting,validation,12,0.22626852057969127,0.16749716867780043,760.7284040633921
BOE,inflation,core_cpi_yoy,Core CPI (YoY),hist_gradient_boosting,test,12,0.2263725806766126,0.1966353915231667,575.8529487862866
BOE,gdp_growth,gdp_yoy,GDP (YoY),persistence_baseline,validation,12,0.05050443880344768,0.04226338190439358,84.75523237241876
BOE,gdp_growth,gdp_yoy,GDP (YoY),persistence_baseline,test,12,0.04951820419543628,0.03467764669078446,113.40763647252854
BOE,gdp_growth,gdp_yoy,GDP (YoY),ridge,validation,12,1.2496823700943271,1.0409980447479386,1910.2449154128801
BOE,gdp_growth,gdp_yoy,GDP (YoY),ridge,test,12,2.560592487725374,2.099131078698679,4124.259782932813
BOE,gdp_growth,gdp_yoy,GDP (YoY),random_forest,validation,12,0.31202658014715673,0.25791909877482,453.38921699650695
BOE,gdp_growth,gdp_yoy,GDP (YoY),random_forest,test,12,0.215012770405772,0.16715404196702996,561.7589114831062
BOE,gdp_growth,gdp_yoy,GDP (YoY),hist_gradient_boosting,validation,12,0.4681780166270321,0.36768456722998466,461.2732214520171
BOE,gdp_growth,gdp_yoy,GDP (YoY),hist_gradient_boosting,test,12,0.5365685075526617,0.48208013295167945,983.8639802392287
BOE,unemployment,unemployment_rate,Unemployment Rate,persistence_baseline,validation,12,0.267853771330153,0.1822514070663891,168.3863931095294
BOE,unemployment,unemployment_rate,Unemployment Rate,persistence_baseline,test,12,0.2603070759131693,0.16402626635975026,11.861020617236798
BOE,unemployment,unemployment_rate,Unemployment Rate,ridge,validation,12,6.398735438491055,6.126144504814834,4333.183738605691
BOE,unemployment,unemployment_rate,Unemployment Rate,ridge,test,12,2.3314068245610096,1.887431966153889,147.35103541546525
BOE,unemployment,unemployment_rate,Unemployment Rate,random_forest,validation,12,0.3637623640902684,0.32577801078225066,214.27007955402817
BOE,unemployment,unemployment_rate,Unemployment Rate,random_forest,test,12,1.4024231517758534,1.347674138895692,94.03554135834308
BOE,unemployment,unemployment_rate,Unemployment Rate,hist_gradient_boosting,validation,12,0.3636529838179414,0.2818102033885481,130.2608127159607
BOE,unemployment,unemployment_rate,Unemployment Rate,hist_gradient_boosting,test,12,1.224564173815261,1.1192324605681208,74.65442110921833
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),persistence_baseline,validation,12,0.23663383483742179,0.18224450537150835,28.389037187044675
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),persistence_baseline,test,12,0.23036427404243925,0.17119938383384112,133.21668108613773
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),ridge,validation,12,0.6687382743518705,0.6013226507184303,80.51930219619913
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),ridge,test,12,0.5257349280188394,0.451493926911398,106.55655452938223
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),random_forest,validation,12,0.4240112028477043,0.3567218876294942,43.37855304124359
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),random_forest,test,12,0.47297303806324187,0.4078899242863389,178.19571376769943
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),hist_gradient_boosting,validation,12,0.45779232425948174,0.36815980870434223,46.49884374440085
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),hist_gradient_boosting,test,12,0.473669118185558,0.36607810603607477,133.81741873106446
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),persistence_baseline,validation,12,0.09129536279958636,0.08548735119225093,236.6342199566755
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),persistence_baseline,test,12,0.10132897191035012,0.06994419643002348,85.96595384271316
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),ridge,validation,12,0.38910210844934684,0.33456512261529386,864.9082368985354
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),ridge,test,12,0.5873655130858388,0.4642453785953678,782.2734346657903
