component_id,index_date,country_code,currency_code,macro_theme,headline_target_type,candidate_indicator_id,candidate_indicator_key,feature_release_timestamp_utc,normalized_signal,directional_signal,assigned_weight,weighted_signal,observation_pairs,abs_correlation,component_available,processed_at
1,2020-01-02,EU,EUR,Growth,GDP,97,manufacturing_pmi,2020-01-02T09:00:00+00:00,,,0.171621,,90,0.438019,False,2026-04-21T08:13:09.357652+00:00
2,2020-01-02,EU,EUR,Inflation,CPI,97,manufacturing_pmi,2020-01-02T09:00:00+00:00,,,0.107728,,207,0.409074,False,2026-04-21T08:13:09.357652+00:00
3,2020-01-06,CA,CAD,Inflation,CPI,165,ppi_yoy,2020-01-06T13:30:00+00:00,,,0.225747,,27,0.610777,False,2026-04-21T08:13:09.357652+00:00
4,2020-01-07,CA,CAD,Growth,GDP,213,imports,2020-01-07T13:30:00+00:00,,,0.163386,,58,0.714797,False,2026-04-21T08:13:09.357652+00:00
5,2020-01-07,CA,CAD,Growth,GDP,214,exports,2020-01-07T13:30:00+00:00,,,0.139590,,58,0.610694,False,2026-04-21T08:13:09.357652+00:00
6,2020-01-07,CA,CAD,Inflation,CPI,165,ppi_yoy,2020-01-06T13:30:00+00:00,,,0.225747,,27,0.610777,False,2026-04-21T08:13:09.357652+00:00
7,2020-01-07,CA,CAD,Labor,UNEMPLOYMENT,213,imports,2020-01-07T13:30:00+00:00,,,0.252861,,73,0.567393,False,2026-04-21T08:13:09.357652+00:00
8,2020-01-07,EU,EUR,Growth,GDP,97,manufacturing_pmi,2020-01-02T09:00:00+00:00,,,0.171621,,90,0.438019,False,2026-04-21T08:13:09.357652+00:00
9,2020-01-07,EU,EUR,Inflation,CPI,89,core_cpi_yoy,2020-01-07T10:00:00+00:00,,,0.132642,,247,0.503680,False,2026-04-21T08:13:09.357652+00:00
10,2020-01-07,EU,EUR,Inflation,CPI,97,manufacturing_pmi,2020-01-02T09:00:00+00:00,,,0.107728,,207,0.409074,False,2026-04-21T08:13:09.357652+00:00
11,2020-01-07,JP,JPY,Growth,GDP,111,services_pmi,2020-01-07T00:30:00+00:00,,,0.065217,,86,0.445091,False,2026-04-21T08:13:09.357652+00:00
12,2020-01-07,JP,JPY,Growth,GDP,112,composite_pmi,2020-01-07T00:30:00+00:00,,,0.074204,,85,0.506425,False,2026-04-21T08:13:09.357652+00:00
13,2020-01-08,EU,EUR,Growth,GDP,96,consumer_confidence,2020-01-08T10:00:00+00:00,,,0.159518,,98,0.407127,False,2026-04-21T08:13:09.357652+00:00
14,2020-01-08,EU,EUR,Growth,GDP,97,manufacturing_pmi,2020-01-02T09:00:00+00:00,,,0.171621,,90,0.438019,False,2026-04-21T08:13:09.357652+00:00
15,2020-01-08,EU,EUR,Growth,GDP,189,economic_sentiment,2020-01-08T10:00:00+00:00,,,0.254933,,64,0.650649,False,2026-04-21T08:13:09.357652+00:00
16,2020-01-08,EU,EUR,Inflation,CPI,89,core_cpi_yoy,2020-01-07T10:00:00+00:00,,,0.132642,,247,0.503680,False,2026-04-21T08:13:09.357652+00:00
17,2020-01-08,EU,EUR,Inflation,CPI,97,manufacturing_pmi,2020-01-02T09:00:00+00:00,,,0.107728,,207,0.409074,False,2026-04-21T08:13:09.357652+00:00
18,2020-01-08,EU,EUR,Inflation,CPI,190,consumer_inflation_expectation,2020-01-08T10:00:00+00:00,,,0.116080,,128,0.440792,False,2026-04-21T08:13:09.357652+00:00
19,2020-01-08,JP,JPY,Growth,GDP,111,services_pmi,2020-01-07T00:30:00+00:00,,,0.065217,,86,0.445091,False,2026-04-21T08:13:09.357652+00:00
20,2020-01-08,JP,JPY,Growth,GDP,112,composite_pmi,2020-01-07T00:30:00+00:00,,,0.074204,,85,0.506425,False,2026-04-21T08:13:09.357652+00:00
21,2020-01-08,UK,GBP,Growth,GDP,80,house_price_index_yoy,2020-01-08T08:30:00+00:00,,,0.095402,,49,0.824663,False,2026-04-21T08:13:09.357652+00:00
22,2020-01-08,UK,GBP,Growth,GDP,186,house_price_index_mom,2020-01-08T08:30:00+00:00,,,0.065310,,47,0.564546,False,2026-04-21T08:13:09.357652+00:00
23,2020-01-09,EU,EUR,Growth,GDP,96,consumer_confidence,2020-01-08T10:00:00+00:00,,,0.159518,,98,0.407127,False,2026-04-21T08:13:09.357652+00:00
