model_name,central_bank_code,currency,observations,pearson_ic,spearman_ic,hit_rate,avg_monthly_strategy_return,monthly_strategy_volatility,information_ratio_annualized,max_drawdown,positive_signal_share,avg_abs_score
refined_subset,BOC,CAD,74,-0.09066457690830308,-0.01257312106627175,0.5540540540540541,0.0012629704054054054,0.018392996682858237,0.23786541674927186,-0.1356158556259749,0.3918918918918919,0.4474269513342524
refined_subset,BOE,GBP,74,-0.13111437729546757,-0.08499074416882635,0.4594594594594595,-0.0015040982432432436,0.022766989783675196,-0.2288554263542034,-0.2954878170541788,0.40540540540540543,0.5885688423682861
refined_subset,BOJ,JPY,74,-0.01898011175737306,-0.01879303961495742,0.4594594594594595,-0.0011173386486486483,0.028698687394755375,-0.13486939539077866,-0.2568106805013356,0.6216216216216216,0.6405531688527937
refined_subset,ECB,EUR,74,0.007424805484033664,0.021991854868567192,0.6216216216216216,0.0030341760810810815,0.02101387303790873,0.5001788220631281,-0.1607393386858158,0.6081081081081081,0.4118454479442843
refined_subset,FED,USD,72,0.1796509157973684,0.15663252621490806,0.5416666666666666,0.0034038287500000003,0.020227389813810157,0.5829327846580052,-0.09774307925128256,0.4305555555555556,0.49090087365849516
refined_subset,RBA,AUD,74,-0.07905213417892942,-0.04586449463161791,0.5135135135135135,-0.00036040648648648593,0.02887119396742187,-0.04324326501192655,-0.23666288064245322,0.5405405405405406,0.5368163564521428
refined_subset,RBNZ,NZD,74,-0.026747537644881053,-0.03774898185857089,0.4864864864864865,-0.0006170724324324323,0.030418016698537866,-0.0702741941077612,-0.310552865286538,0.5,0.5349171339951679
refined_subset,SNB,CHF,74,-0.04290981431105388,-0.0651462421325435,0.47297297297297297,-0.0013933132432432432,0.021904166746504205,-0.22034979518597939,-0.16843147362399202,0.4189189189189189,0.5021705021251325
