file_name,full_path,error
U.S. Continuing Jobless Claims.xlsx,C:\Users\wpmpo\OneDrive\Documents\macro_trading_system\data\raw\US Data\Employment\U.S. Continuing Jobless Claims.xlsx,No valid date column found
U.S. Import Price Index MoM.xlsx,C:\Users\wpmpo\OneDrive\Documents\macro_trading_system\data\raw\US Data\Inflation data\U.S. Import Price Index MoM.xlsx,No valid date column found
