central_bank_code,currency,indicator_key,indicator,shock,baseline_pearson_ic,scenario_pearson_ic,pearson_ic_delta,baseline_hit_rate,scenario_hit_rate,hit_rate_delta,sensitivity_magnitude
BOC,CAD,ivey_pmi_sa,Ivey PMI s.a.,plus_20pct,-0.15295433463870756,-0.15374235274074505,-0.000788018102037491,0.5066666666666667,0.5066666666666667,0.0,0.000788018102037491
BOE,GBP,ppi_input_yoy,PPI Input (YoY),minus_20pct,-0.10984412989764278,-0.10906263509832373,0.0007814947993190491,0.4533333333333333,0.4533333333333333,0.0,0.0007814947993190491
FED,USD,challenger_job_cuts,Challenger Job Cuts,plus_20pct,0.20315680532959624,0.2023772234222523,-0.0007795819073439236,0.5084745762711864,0.5084745762711864,0.0,0.0007795819073439236
FED,USD,adp_employment_change,ADP Employment Change,minus_20pct,0.20315680532959624,0.2038895755107706,0.0007327701811743748,0.5084745762711864,0.5084745762711864,0.0,0.0007327701811743748
FED,USD,adp_employment_change,ADP Employment Change,plus_20pct,0.20315680532959624,0.2024278474516145,-0.0007289578779817452,0.5084745762711864,0.5084745762711864,0.0,0.0007289578779817452
BOE,GBP,ppi_output_yoy,PPI Output (YoY),minus_20pct,-0.10984412989764278,-0.10913863135063817,0.0007054985470046071,0.4533333333333333,0.4533333333333333,0.0,0.0007054985470046071
BOJ,JPY,leading_economic_index,Leading Economic Index,minus_20pct,0.0028546048305205522,0.0035104980384437078,0.0006558932079231555,0.4666666666666667,0.4666666666666667,0.0,0.0006558932079231555
BOJ,JPY,leading_economic_index,Leading Economic Index,plus_20pct,0.0028546048305205522,0.0022154187950770366,-0.0006391860354435157,0.4666666666666667,0.4666666666666667,0.0,0.0006391860354435157
SNB,CHF,cpi_headline_yoy,Headline CPI (YoY),minus_20pct,-0.05399171631330828,-0.05459633968577641,-0.0006046233724681313,0.44594594594594594,0.44594594594594594,0.0,0.0006046233724681313
RBA,AUD,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),minus_20pct,-0.1383878319758714,-0.13898789656847965,-0.0006000645926082515,0.4666666666666667,0.4666666666666667,0.0,0.0006000645926082515
RBA,AUD,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),plus_20pct,-0.1383878319758714,-0.13779017893796425,0.0005976530379071532,0.4666666666666667,0.4666666666666667,0.0,0.0005976530379071532
SNB,CHF,cpi_headline_yoy,Headline CPI (YoY),plus_20pct,-0.05399171631330828,-0.05342032516586707,0.0005713911474412095,0.44594594594594594,0.44594594594594594,0.0,0.0005713911474412095
BOE,GBP,cpi_headline_yoy,Headline CPI (YoY),minus_20pct,-0.10984412989764278,-0.11041108367604484,-0.0005669537784020601,0.4533333333333333,0.4533333333333333,0.0,0.0005669537784020601
BOC,CAD,employment_change,Employment Change,plus_20pct,-0.15295433463870756,-0.15238806143106992,0.0005662732076376353,0.5066666666666667,0.5066666666666667,0.0,0.0005662732076376353
BOJ,JPY,tankan_large_non_manufacturing_index,Tankan Large Non-Manufacturing Index,minus_20pct,0.0028546048305205522,0.0022994459039535355,-0.0005551589265670167,0.4666666666666667,0.4666666666666667,0.0,0.0005551589265670167
BOJ,JPY,tankan_large_non_manufacturing_index,Tankan Large Non-Manufacturing Index,plus_20pct,0.0028546048305205522,0.003403943845663877,0.0005493390151433248,0.4666666666666667,0.4666666666666667,0.0,0.0005493390151433248
RBNZ,NZD,unemployment_rate,Unemployment Rate,minus_20pct,-0.09690036707060748,-0.09636210598329122,0.0005382610873162635,0.5540540540540541,0.5540540540540541,0.0,0.0005382610873162635
RBNZ,NZD,unemployment_rate,Unemployment Rate,plus_20pct,-0.09690036707060748,-0.09742609587145297,-0.0005257288008454902,0.5540540540540541,0.5540540540540541,0.0,0.0005257288008454902
SNB,CHF,retail_sales_mom,Retail Sales (MoM),plus_20pct,-0.05399171631330828,-0.053481022225898664,0.0005106940874096133,0.44594594594594594,0.44594594594594594,0.0,0.0005106940874096133
SNB,CHF,retail_sales_mom,Retail Sales (MoM),minus_20pct,-0.05399171631330828,-0.054501675596169745,-0.0005099592828614677,0.44594594594594594,0.44594594594594594,0.0,0.0005099592828614677
BOC,CAD,employment_change,Employment Change,minus_20pct,-0.15295433463870756,-0.15346047871751756,-0.0005061440788100002,0.5066666666666667,0.5066666666666667,0.0,0.0005061440788100002
RBA,AUD,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),minus_20pct,-0.1383878319758714,-0.13788833575450843,0.0004994962213629717,0.4666666666666667,0.4666666666666667,0.0,0.0004994962213629717
RBNZ,NZD,credit_card_spending_yoy,Credit Card Spending (YoY),minus_20pct,-0.09690036707060748,-0.09642406294193595,0.0004763041286715286,0.5540540540540541,0.5540540540540541,0.0,0.0004763041286715286
FED,USD,ism_manufacturing_employment,ISM Manufacturing Employment,minus_20pct,0.20315680532959624,0.20361709021064642,0.0004602848810501825,0.5084745762711864,0.5084745762711864,0.0,0.0004602848810501825
FED,USD,ism_manufacturing_employment,ISM Manufacturing Employment,plus_20pct,0.20315680532959624,0.20269784177317282,-0.000458963556423414,0.5084745762711864,0.5084745762711864,0.0,0.000458963556423414
SNB,CHF,producer_import_prices_mom,Producer & Import Prices (MoM),minus_20pct,-0.05399171631330828,-0.0535861304249303,0.0004055858883779753,0.44594594594594594,0.44594594594594594,0.0,0.0004055858883779753
BOC,CAD,ppi_yoy,PPI (YoY),minus_20pct,-0.15295433463870756,-0.15334538545169085,-0.0003910508129832957,0.5066666666666667,0.5066666666666667,0.0,0.0003910508129832957
FED,USD,consumer_inflation_expectations,Consumer Inflation Expectations,plus_20pct,0.20315680532959624,0.20280968679877512,-0.00034711853082111666,0.5084745762711864,0.5084745762711864,0.0,0.00034711853082111666
