central_bank_code,month,indicator_key,value_normalized,indicator,indicator_category,signed_weight,contribution
BOC,2020-05-01,exports,-2.774680330888112,Exports,Trade,0.02893149712843853,-0.08027565602542429
BOC,2020-05-01,full_time_employment_change,0.9757933257946012,Full-Time Employment Change,Labor,0.04096881593605494,0.039977097156109906
BOC,2020-05-01,gdp_mom,2.233900208605963,GDP (MoM),Growth,0.006134904127173815,0.013704763609471168
BOC,2020-05-01,imports,-2.880162428628918,Imports,Trade,0.023228716873411066,-0.06690247760405714
BOC,2020-05-01,ivey_pmi_sa,-1.7413632482290524,Ivey PMI s.a.,Growth,0.03219530035399949,-0.056063712802150514
BOC,2020-05-01,manufacturing_sales_mom,2.1485085034656204,Manufacturing Sales (MoM),Growth,0.006148537874260851,0.013210185906729868
BOC,2020-05-01,new_housing_price_index_mom,-0.2999848459734484,New Housing Price Index (MoM),Housing,-0.024608373811200263,0.007382139227409951
BOC,2020-05-01,new_housing_price_index_yoy,-0.5768488159224939,New Housing Price Index (YoY),Housing,0.01278700461885018,-0.007376168473579188
BOC,2020-05-01,new_motor_vehicle_sales,-1.2411796700473243,New Motor Vehicle Sales,Growth,0.013522100026237169,-0.016783355648911966
BOC,2020-05-01,part_time_employment_change,0.5213437354457456,Part-Time Employment Change,Labor,-0.003142317773373342,-0.0016382276859280161
BOC,2020-05-01,ppi_mom,0.6126748580415681,PPI (MoM),Inflation,0.01006163277453113,0.006164509431802249
BOC,2020-05-01,ppi_yoy,-1.3858766899076007,PPI (YoY),Inflation,0.03488863459243317,-0.04835134542435709
BOC,2020-05-01,raw_materials_prices_mom,3.395308027384954,Raw Materials Prices (MoM),Inflation,-0.009254324696009371,-0.03142128292838744
BOC,2020-05-01,raw_materials_prices_yoy,-1.7504973513064084,Raw Materials Prices (YoY),Inflation,0.03215740267063467,-0.05629144819983961
BOC,2020-05-01,retail_sales_ex_autos_mom,2.647329319227967,Retail Sales Ex Autos (MoM),Growth,0.023220023305281487,0.06147104848922837
BOC,2020-05-01,retail_sales_mom,3.591671579973004,Retail Sales (MoM),Growth,-0.014445421741266352,-0.0518832107288305
BOC,2020-05-01,retail_sales_yoy,-2.4956833274296737,Retail Sales (YoY),Growth,0.03521631245765324,-0.08788876385411912
BOC,2020-05-01,unemployment_rate,3.861411109911732,Unemployment Rate,Labor,-0.009542259431604347,-0.036846586582857034
BOC,2020-05-01,wholesale_sales_mom,1.46701551660798,Wholesale Sales (MoM),Growth,0.0064370348713542695,0.009443230037223365
BOC,2020-06-01,balance_of_trade,-1.0492354529483563,Balance of Trade,Trade,0.02960202367361747,-0.03105949271737599
BOC,2020-06-01,budget_balance,-2.0900406581212647,Budget Balance,Growth,0.01801349542493152,-0.03764893783298827
BOC,2020-06-01,core_cpi_yoy,-1.1990881679886536,Core CPI (YoY),Inflation,-0.007165218831087283,0.008591729121406252
