central_bank_code,month,refined_strength_score
BOC,2019-11-01,-0.102170493025581
BOC,2019-12-01,-0.11961052658239113
BOC,2020-01-01,-0.11605271838128527
BOC,2020-02-01,-0.12757420105744974
BOC,2020-03-01,-0.7096193900430766
BOC,2020-04-01,-1.577463679756393
BOC,2020-05-01,-0.4850467004288602
BOC,2020-06-01,0.01387212711647284
BOC,2020-07-01,-0.20959019842680587
BOC,2020-08-01,-0.1986605611902219
BOC,2020-09-01,-0.2138075059150233
BOC,2020-10-01,-0.19987348674145988
BOC,2020-11-01,-0.1883020246226875
BOC,2020-12-01,-0.2951369859018391
BOC,2021-01-01,-0.18129410024105247
BOC,2021-02-01,-0.05389255641411977
BOC,2021-03-01,0.20233044200554975
BOC,2021-04-01,0.19875953794034773
BOC,2021-05-01,0.13402011033738676
BOC,2021-06-01,0.20224321554573063
BOC,2021-07-01,0.14257666429476754
BOC,2021-08-01,0.1737050828968018
BOC,2021-09-01,0.2110876775215691
BOC,2021-10-01,0.2327800396535444
BOC,2021-11-01,0.2646167393793307
BOC,2021-12-01,0.15228561000312724
BOC,2022-01-01,0.16849632223504954
BOC,2022-02-01,0.36268947507554794
BOC,2022-03-01,0.545058477612738
BOC,2022-04-01,0.487018827567865
BOC,2022-05-01,0.6890164765031866
BOC,2022-06-01,0.48813797929314573
BOC,2022-07-01,0.2590080786894898
BOC,2022-08-01,0.14872568669369682
BOC,2022-09-01,0.21072246877172696
BOC,2022-10-01,0.2779540616811767
BOC,2022-11-01,0.12173636294038673
BOC,2022-12-01,-0.06645182966493432
BOC,2023-01-01,0.2303023114873242
BOC,2023-02-01,0.09300399675733124
BOC,2023-03-01,-0.030562610174607124
BOC,2023-04-01,0.07799801453036677
BOC,2023-05-01,-0.090636381601028
BOC,2023-06-01,-0.17462979881110682
BOC,2023-07-01,-0.047942440013915726
BOC,2023-08-01,0.0100441710637164
BOC,2023-09-01,-0.02071802995250279
BOC,2023-10-01,-0.04875447385779676
BOC,2023-11-01,0.013779938555106872
BOC,2023-12-01,-0.14603053699294327
BOC,2024-01-01,-0.06202662718026987
BOC,2024-02-01,0.04289802144329429
BOC,2024-03-01,-0.007635310127550548
BOC,2024-04-01,0.011059426349154137
BOC,2024-05-01,-0.08168505696042272
BOC,2024-06-01,0.013447348949317171
BOC,2024-07-01,0.012946503023218927
BOC,2024-08-01,-0.15190174543929075
BOC,2024-09-01,-0.09967273287524266
BOC,2024-10-01,-0.08465499465668896
BOC,2024-11-01,-0.11147540901742123
BOC,2024-12-01,0.00036411354861099225
BOC,2025-01-01,0.09141176043483618
BOC,2025-02-01,0.14761189737292174
BOC,2025-03-01,-0.016097186320136278
BOC,2025-04-01,-0.11219722754431292
BOC,2025-05-01,-0.09629862145629108
BOC,2025-06-01,-0.04803656572427091
BOC,2025-07-01,-0.1845947305071105
BOC,2025-08-01,-0.18539891460566885
BOC,2025-09-01,0.06254957345855086
BOC,2025-10-01,-0.06800652368482142
BOC,2025-11-01,0.008159914437126471
BOC,2025-12-01,0.008321290499358692
BOC,2026-01-01,0.07333550294963065
BOC,2026-02-01,0.05169525917683999
BOC,2026-03-01,0.08781890258408202
BOC,2026-04-01,0.014646692552026531
BOE,2019-10-01,0.02434600044823001
BOE,2019-11-01,-0.035992228647628584
BOE,2019-12-01,-0.214858191623073
BOE,2020-01-01,-0.323573763357825
BOE,2020-02-01,-0.2395417695446158
BOE,2020-03-01,-0.28340858744894665
BOE,2020-04-01,-0.6657781190229085
BOE,2020-05-01,-0.6596658253143729
BOE,2020-06-01,-0.5636159466768309
BOE,2020-07-01,-0.4429115749435836
BOE,2020-08-01,-0.4828496182763958
BOE,2020-09-01,-0.4569553547280291
BOE,2020-10-01,-0.32744728423974584
BOE,2020-11-01,-0.4008674873378127
BOE,2020-12-01,-0.2884535894004452
BOE,2021-01-01,-0.3302570030408104
BOE,2021-02-01,-0.22960135928815395
BOE,2021-03-01,-0.1811075619016201
BOE,2021-04-01,-0.03504407715894852
BOE,2021-05-01,0.09171909469296449
BOE,2021-06-01,0.15958950388851334
BOE,2021-07-01,0.1566021003293049
BOE,2021-08-01,0.24005775493137685
BOE,2021-09-01,0.12828038878413636
BOE,2021-10-01,0.2216715188783156
BOE,2021-11-01,0.1982698410013317
BOE,2021-12-01,0.2227888170176887
BOE,2022-01-01,0.20419823699774947
BOE,2022-02-01,0.33812532975561
BOE,2022-03-01,0.5869705106389711
BOE,2022-04-01,0.8427810582568308
BOE,2022-05-01,0.6270958812382444
BOE,2022-06-01,0.5726508217155987
BOE,2022-07-01,0.5758307777030435
BOE,2022-08-01,0.48242996941605365
BOE,2022-09-01,0.5289033093113648
BOE,2022-10-01,0.6931121786937489
BOE,2022-11-01,0.31090505067887975
BOE,2022-12-01,0.38635191298369315
BOE,2023-01-01,0.3887546017160337
BOE,2023-02-01,0.4897936161563101
BOE,2023-03-01,0.392105825591819
BOE,2023-04-01,0.3189163093066442
BOE,2023-05-01,0.1835257679045523
BOE,2023-06-01,0.06274885254608596
BOE,2023-07-01,0.07236622272219705
BOE,2023-08-01,0.08122215232434062
BOE,2023-09-01,0.10654548944124677
BOE,2023-10-01,-0.013158497026024979
BOE,2023-11-01,-0.14082104549171107
BOE,2023-12-01,0.0001927234540457113
BOE,2024-01-01,-0.19588965507693856
BOE,2024-02-01,-0.032299712454084896
BOE,2024-03-01,-0.10949255260279932
BOE,2024-04-01,-0.11752309902408377
BOE,2024-05-01,-0.14930213779949952
BOE,2024-06-01,-0.18376282950625536
BOE,2024-07-01,-0.17702922245598887
BOE,2024-08-01,-0.17003727856322767
BOE,2024-09-01,-0.25152776562744333
BOE,2024-10-01,-0.10958721133507486
BOE,2024-11-01,-0.1207530969726448
BOE,2024-12-01,-0.1019618423382646
BOE,2025-01-01,-0.14760442558550932
BOE,2025-02-01,0.04903252940077402
BOE,2025-03-01,-0.02119418297155399
BOE,2025-04-01,0.1807702674704233
BOE,2025-05-01,-0.06108257184895146
BOE,2025-06-01,-0.04114053218622252
BOE,2025-07-01,-0.05352756182651078
BOE,2025-08-01,-0.0648809570424735
BOE,2025-09-01,-0.1697408917098976
BOE,2025-10-01,-0.16131737307250313
BOE,2025-11-01,-0.2574532742540629
BOE,2025-12-01,-0.18147838862168475
BOE,2026-01-01,-0.31222873216637426
BOE,2026-02-01,-0.26225079448818744
BOE,2026-03-01,-0.062313643107893356
BOE,2026-04-01,-0.06077751937104001
BOJ,2019-10-01,0.003807477945651992
BOJ,2019-11-01,-0.03304265197002974
BOJ,2019-12-01,-0.20942684047961824
BOJ,2020-01-01,-0.2435744903366855
BOJ,2020-02-01,-0.28570147780927674
BOJ,2020-03-01,-0.7117642325676167
BOJ,2020-04-01,-1.5118034111772953
BOJ,2020-05-01,-1.0338709301493223
BOJ,2020-06-01,-0.3708818548020989
BOJ,2020-07-01,-0.7047823572161619
BOJ,2020-08-01,-0.4561451653987103
BOJ,2020-09-01,-0.3587214989765636
BOJ,2020-10-01,-0.33915452321469325
BOJ,2020-11-01,-0.4338885849985027
BOJ,2020-12-01,-0.4556725733607923
BOJ,2021-01-01,-0.5171267736843089
BOJ,2021-02-01,-0.3489456259419576
BOJ,2021-03-01,-0.07926098845580891
BOJ,2021-04-01,-0.19524797306908512
BOJ,2021-05-01,-0.20780581050588218
BOJ,2021-06-01,-0.07264879688117448
BOJ,2021-07-01,-0.20743886391044894
BOJ,2021-08-01,-0.3955779921881488
BOJ,2021-09-01,-0.19465590040934755
BOJ,2021-10-01,-0.111674711595013
BOJ,2021-11-01,0.01337994508951492
BOJ,2021-12-01,-0.06455179493806754
BOJ,2022-01-01,-0.28623746958240753
BOJ,2022-02-01,-0.28270363452091657
BOJ,2022-03-01,-0.03523677749069941
BOJ,2022-04-01,0.11976272474711165
BOJ,2022-05-01,0.04370673382248405
BOJ,2022-06-01,0.11503891482496699
BOJ,2022-07-01,0.08085063490012792
BOJ,2022-08-01,0.09902743302840024
BOJ,2022-09-01,0.13727477858390255
BOJ,2022-10-01,0.22670531089988188
BOJ,2022-11-01,0.04961798375994602
BOJ,2022-12-01,0.09594415059439933
BOJ,2023-01-01,0.2430884780084753
BOJ,2023-02-01,0.18298578663273293
BOJ,2023-03-01,0.25488307887897144
BOJ,2023-04-01,0.3384157909999001
BOJ,2023-05-01,0.3771029827090031
BOJ,2023-06-01,0.35220748424041537
BOJ,2023-07-01,0.385527162651494
BOJ,2023-08-01,0.3381597601890823
BOJ,2023-09-01,0.2803114562384685
BOJ,2023-10-01,0.3682877436829834
BOJ,2023-11-01,0.17081370023497225
BOJ,2023-12-01,0.1895421527449375
BOJ,2024-01-01,0.1944288402321605
BOJ,2024-02-01,0.2687294423118247
BOJ,2024-03-01,0.23902529761505287
BOJ,2024-04-01,0.2308941373053687
BOJ,2024-05-01,0.22266462316844604
BOJ,2024-06-01,0.049376049543936006
BOJ,2024-07-01,0.283878179542858
BOJ,2024-08-01,0.2588796696394305
BOJ,2024-09-01,0.04506090939428632
BOJ,2024-10-01,0.25880343826265717
BOJ,2024-11-01,0.20579715483099797
BOJ,2024-12-01,0.2585108736488235
BOJ,2025-01-01,0.31518806385199194
BOJ,2025-02-01,0.1603069438076532
BOJ,2025-03-01,0.24251154349561976
BOJ,2025-04-01,0.3094163450855324
BOJ,2025-05-01,0.21908819430275442
BOJ,2025-06-01,0.14337306932204133
BOJ,2025-07-01,0.2184565378120599
BOJ,2025-08-01,0.16953983758991978
BOJ,2025-09-01,0.17728014351451754
BOJ,2025-10-01,0.2938321570195735
BOJ,2025-11-01,0.24371346770614236
BOJ,2025-12-01,0.20017900342046036
BOJ,2026-01-01,0.2380761201895525
BOJ,2026-02-01,0.20150043706244805
BOJ,2026-03-01,0.009149341493087462
BOJ,2026-04-01,0.023749746839039767
ECB,2019-10-01,0.0001140147733627361
ECB,2019-11-01,-0.00493158586700357
ECB,2019-12-01,-0.20633309768687602
ECB,2020-01-01,-0.19349090000529395
ECB,2020-02-01,-0.1880348645982842
ECB,2020-03-01,-0.24252955222485614
ECB,2020-04-01,-0.4578189735437188
ECB,2020-05-01,-0.4103369584781359
ECB,2020-06-01,-0.34377945077920136
ECB,2020-07-01,-0.3225666786058168
ECB,2020-08-01,-0.3408445066235443
ECB,2020-09-01,-0.3397524539677244
ECB,2020-10-01,-0.299258895696771
ECB,2020-11-01,-0.29977101153155783
ECB,2020-12-01,-0.3157513199021649
ECB,2021-01-01,-0.22093195840210308
ECB,2021-02-01,-0.2754610078741793
ECB,2021-03-01,-0.08210137345310453
ECB,2021-04-01,0.08753001988582104
ECB,2021-05-01,-0.13331443702788898
ECB,2021-06-01,-0.2290742852647944
ECB,2021-07-01,-0.22034513763810748
ECB,2021-08-01,-0.1503900677887295
ECB,2021-09-01,-0.09865164389282435
ECB,2021-10-01,-0.043302595056394354
ECB,2021-11-01,-0.02930904530938487
ECB,2021-12-01,-0.04265277458012992
ECB,2022-01-01,-0.029232185008382358
ECB,2022-02-01,0.0687559387840199
ECB,2022-03-01,0.15291093152707508
ECB,2022-04-01,0.12917721544033967
ECB,2022-05-01,0.18953591518066598
ECB,2022-06-01,0.23852196402241282
ECB,2022-07-01,0.3021138810921302
ECB,2022-08-01,0.37256497174017245
ECB,2022-09-01,0.449793253226438
ECB,2022-10-01,0.5161198529220581
ECB,2022-11-01,0.4120961859551769
ECB,2022-12-01,0.34250975404812894
ECB,2023-01-01,0.30713762730993427
ECB,2023-02-01,0.3207031329821778
ECB,2023-03-01,0.24102215918552206
ECB,2023-04-01,0.29578974900847066
ECB,2023-05-01,0.26276892246448935
ECB,2023-06-01,0.26248555200281976
ECB,2023-07-01,0.24996870230993035
ECB,2023-08-01,0.23569179280706465
ECB,2023-09-01,0.163824158947559
ECB,2023-10-01,0.10772295328057836
ECB,2023-11-01,0.014968371272879998
ECB,2023-12-01,0.10610568147369343
ECB,2024-01-01,0.0318826179036272
ECB,2024-02-01,0.04041867984803006
ECB,2024-03-01,0.027795516598401133
ECB,2024-04-01,-0.008223915938438946
ECB,2024-05-01,-0.02208746225465899
ECB,2024-06-01,-0.0062607599461959595
ECB,2024-07-01,-0.018739676747636956
ECB,2024-08-01,-0.013412695967907168
ECB,2024-09-01,-0.027974298933188795
ECB,2024-10-01,-0.001066171663966487
ECB,2024-11-01,0.0032968475868316253
ECB,2024-12-01,0.020379035601360715
ECB,2025-01-01,0.003043646500027571
ECB,2025-02-01,0.013585654706411175
ECB,2025-03-01,-0.014270333214612296
ECB,2025-04-01,0.10315522552814595
ECB,2025-05-01,0.019374040404302163
ECB,2025-06-01,-0.008830502645847345
ECB,2025-07-01,0.004054006680251951
ECB,2025-08-01,-0.013687559776431976
ECB,2025-09-01,-0.010123143481570009
ECB,2025-10-01,-0.00039730562918160626
ECB,2025-11-01,-0.03071459940052945
ECB,2025-12-01,-0.04550153185067429
ECB,2026-01-01,-0.12804848550804776
ECB,2026-02-01,-0.07470004272034163
ECB,2026-03-01,-0.06979401355232406
ECB,2026-04-01,-0.08311871296178752
FED,2020-02-01,-0.2802459037542494
FED,2020-03-01,-0.8116253681543564
FED,2020-04-01,-2.733019213666458
FED,2020-05-01,-0.9976975396784244
FED,2020-06-01,-0.03972691222766234
FED,2020-08-01,-0.14537666958887813
FED,2020-09-01,-0.3190697249156149
FED,2020-10-01,-0.2851002410970149
FED,2020-11-01,-0.3136481435891947
FED,2020-12-01,-0.06513587475817262
FED,2021-02-01,-0.10687663673469718
FED,2021-03-01,0.38053768855175835
FED,2021-04-01,0.5883569180649171
FED,2021-05-01,0.5695292132384386
FED,2021-06-01,0.013415801906676086
FED,2021-08-01,0.04820179479540719
FED,2021-09-01,0.32970975724125257
FED,2021-10-01,0.6365744019626302
FED,2021-11-01,0.7867453598452668
FED,2021-12-01,0.047043504773230625
FED,2022-02-01,0.1818991854448374
FED,2022-03-01,1.0726069354107168
FED,2022-04-01,0.7306310270480999
FED,2022-05-01,0.8240305971104003
FED,2022-06-01,0.058115509210149345
FED,2022-08-01,0.1728933395569752
FED,2022-09-01,0.42836226488372553
FED,2022-10-01,0.32296551304730037
FED,2022-11-01,0.16134411439890167
FED,2022-12-01,-0.06036406240665286
FED,2023-02-01,0.08374780205546738
FED,2023-03-01,-0.06557167727934334
FED,2023-04-01,0.09661507595530841
FED,2023-05-01,-0.14580952558632843
FED,2023-06-01,-0.05072710872400267
FED,2023-08-01,0.013488651937132487
FED,2023-09-01,0.01870896345504688
FED,2023-10-01,-0.1799131292618395
FED,2023-11-01,-0.18447029903025355
FED,2023-12-01,-0.07563041169488303
FED,2024-03-01,-0.02171101239232741
FED,2024-04-01,-0.05790419906720606
FED,2024-05-01,-0.1736092842609517
FED,2024-06-01,-0.02022867752324606
FED,2024-09-01,-0.10513999684072153
FED,2024-10-01,-0.1703817760945547
FED,2024-11-01,-0.13466640978608352
FED,2024-12-01,-0.06210736689965316
FED,2025-03-01,-0.04353864771602532
FED,2025-04-01,-0.12533332286842153
FED,2025-05-01,-0.11345111406662277
FED,2025-06-01,0.04581033842414796
FED,2025-09-01,-0.03234920979373816
FED,2025-10-01,-0.030994859051231737
FED,2025-11-01,0.031526980188485335
FED,2025-12-01,0.02568670288916738
FED,2026-01-01,-0.012080577821288466
FED,2026-02-01,0.08056763478222315
FED,2026-03-01,0.10246171594721565
FED,2026-04-01,0.11192810420522144
RBA,2019-10-01,-0.22270816270161178
RBA,2019-11-01,-0.04512496417882361
RBA,2019-12-01,-0.04994203654089127
RBA,2020-01-01,-0.2709285746659733
RBA,2020-02-01,-0.1627395029687479
RBA,2020-03-01,-0.28425617357958155
RBA,2020-04-01,-1.364772103530782
RBA,2020-05-01,-0.4415252410910292
RBA,2020-06-01,0.03871983203244115
RBA,2020-07-01,-0.24893327025206372
RBA,2020-08-01,-0.047553069638198234
RBA,2020-09-01,-0.10733622875489782
RBA,2020-10-01,-0.22766979244766028
RBA,2020-11-01,0.031450730244672424
RBA,2020-12-01,-0.0710596621674015
RBA,2021-01-01,-0.2679422201715872
RBA,2021-02-01,-0.02548159895952208
RBA,2021-03-01,-0.005613799094230189
RBA,2021-04-01,-0.15363779465453414
RBA,2021-05-01,0.03630220506988035
RBA,2021-06-01,0.036221723462068645
RBA,2021-07-01,-0.05024015497655596
RBA,2021-08-01,-0.12327331266129367
RBA,2021-09-01,-0.032935760482491624
RBA,2021-10-01,0.08392773172761686
RBA,2021-11-01,0.17920558981106705
RBA,2021-12-01,0.04888356226579844
RBA,2022-01-01,0.4030658790107172
RBA,2022-02-01,0.043031506958269815
RBA,2022-03-01,0.2692094721682507
RBA,2022-04-01,0.5429977654654891
RBA,2022-05-01,0.2548939608557644
RBA,2022-06-01,0.2741797234514341
RBA,2022-07-01,0.5872285865630044
RBA,2022-08-01,0.11822519202958476
RBA,2022-09-01,0.21825070867607654
RBA,2022-10-01,0.5028937201188456
RBA,2022-11-01,0.16133571363554067
RBA,2022-12-01,0.07864433298260881
RBA,2023-01-01,0.395817172670819
RBA,2023-02-01,0.018517567134096514
RBA,2023-03-01,0.06376997378294263
RBA,2023-04-01,0.11208179855023674
RBA,2023-05-01,0.05730351497946032
RBA,2023-06-01,0.0055073928284163
RBA,2023-07-01,0.22403593545840847
RBA,2023-08-01,-0.04025802923735234
RBA,2023-09-01,0.025581445738403884
RBA,2023-10-01,-0.00398073666209744
RBA,2023-11-01,-0.0682224899174108
RBA,2023-12-01,-0.014414042259619423
RBA,2024-01-01,0.0891463311082428
RBA,2024-02-01,0.008116042353821063
RBA,2024-03-01,-0.07219526391986172
RBA,2024-04-01,0.032253968926982034
RBA,2024-05-01,-0.01649747815120445
RBA,2024-06-01,-0.004332622690486986
RBA,2024-07-01,-0.0617376660922104
RBA,2024-08-01,-0.03085824552130541
RBA,2024-09-01,-0.1031705349327636
RBA,2024-10-01,-0.10563013643321763
RBA,2024-11-01,-0.03687006591061197
RBA,2024-12-01,-0.03176205042872317
RBA,2025-01-01,-0.036576891707565624
RBA,2025-02-01,-0.07479527342154063
RBA,2025-03-01,-0.007010708208167945
RBA,2025-04-01,-0.07230344735911676
RBA,2025-05-01,-0.06618719367367858
RBA,2025-06-01,-0.03426959146476822
RBA,2025-07-01,0.11953637805085353
RBA,2025-08-01,0.011304492111291066
RBA,2025-09-01,-0.009658109538582971
RBA,2025-10-01,0.03103209064524846
RBA,2025-11-01,-0.056097053265402694
RBA,2025-12-01,0.01981880984765468
RBA,2026-01-01,0.023771626035169906
RBA,2026-02-01,-8.426225714683474e-05
RBA,2026-03-01,-0.02965384143888018
RBA,2026-04-01,0.05545433920083928
RBNZ,2019-10-01,-0.09542272810412385
RBNZ,2019-12-01,-0.056462497860065027
RBNZ,2020-01-01,-0.15801101442605558
RBNZ,2020-02-01,-0.08351133822204797
RBNZ,2020-03-01,-0.018402813059087836
RBNZ,2020-04-01,-0.4361014127198602
RBNZ,2020-05-01,-0.08041939746010432
RBNZ,2020-06-01,-0.04888192266131887
RBNZ,2020-07-01,-0.26837833066576783
RBNZ,2020-08-01,-0.02545911485847702
RBNZ,2020-09-01,-0.01860294136155723
RBNZ,2020-10-01,-0.2598418582305089
RBNZ,2020-11-01,-0.05480440555653565
RBNZ,2020-12-01,-0.04475430252058801
RBNZ,2021-01-01,-0.21458190687282072
RBNZ,2021-02-01,-0.0909932837276555
RBNZ,2021-03-01,-0.019992462512825066
RBNZ,2021-04-01,-0.007799784311181718
RBNZ,2021-05-01,-0.02580850178113184
RBNZ,2021-06-01,-0.023085334378449993
RBNZ,2021-07-01,0.21128221652794732
RBNZ,2021-08-01,0.06138846702875719
RBNZ,2021-09-01,0.05042561397312938
RBNZ,2021-10-01,0.08679337947793245
RBNZ,2021-11-01,0.04448635403733499
RBNZ,2021-12-01,0.03469818920004059
RBNZ,2022-01-01,0.1397229842913017
RBNZ,2022-02-01,0.021969326896149905
RBNZ,2022-03-01,0.06476699080454279
RBNZ,2022-04-01,0.16806953852912393
RBNZ,2022-05-01,0.04434383338170413
RBNZ,2022-06-01,0.08420513542665284
RBNZ,2022-07-01,0.4457654238001913
RBNZ,2022-08-01,0.15668123074523796
RBNZ,2022-09-01,0.12673490450012664
RBNZ,2022-10-01,0.3968324116141344
RBNZ,2022-11-01,0.16663856940780336
RBNZ,2022-12-01,0.06446749128780041
RBNZ,2023-01-01,0.24574280476162408
RBNZ,2023-02-01,-0.0006361304493033885
RBNZ,2023-03-01,0.04603776875586198
RBNZ,2023-04-01,0.32161238229904004
RBNZ,2023-05-01,0.048633608783377
RBNZ,2023-06-01,0.015886420002217447
RBNZ,2023-07-01,0.15535639142354438
RBNZ,2023-08-01,-0.04556840820726965
RBNZ,2023-09-01,-0.053667433032566374
RBNZ,2023-10-01,0.07995681072657371
RBNZ,2023-11-01,-0.02492662911751485
RBNZ,2023-12-01,-0.026997831439805425
RBNZ,2024-01-01,-0.0390960779865724
RBNZ,2024-02-01,-0.030992491784005986
RBNZ,2024-03-01,-0.000654048302495117
RBNZ,2024-04-01,0.05570654812221154
