central_bank_code,month,strength_score
BOC,2019-11-01,-0.11049892830477741
BOC,2019-12-01,-0.1259862462512401
BOC,2020-01-01,-0.12473349127051053
BOC,2020-02-01,-0.13534625432630534
BOC,2020-03-01,-0.7208630405351794
BOC,2020-04-01,-1.613926342363727
BOC,2020-05-01,-0.5364530337788336
BOC,2020-06-01,-0.03473957769496552
BOC,2020-07-01,-0.2519645656661541
BOC,2020-08-01,-0.23990732007359866
BOC,2020-09-01,-0.2603720037450214
BOC,2020-10-01,-0.23691530581299874
BOC,2020-11-01,-0.21831935234190938
BOC,2020-12-01,-0.32486081837137337
BOC,2021-01-01,-0.19935310291622466
BOC,2021-02-01,-0.07289830172101855
BOC,2021-03-01,0.1779424467173257
BOC,2021-04-01,0.1754893534320756
BOC,2021-05-01,0.11641090759300639
BOC,2021-06-01,0.21549505539692107
BOC,2021-07-01,0.14679664227028807
BOC,2021-08-01,0.1843575714810017
BOC,2021-09-01,0.21839912774817027
BOC,2021-10-01,0.250754266615204
BOC,2021-11-01,0.29181380100988025
BOC,2021-12-01,0.1688838024008583
BOC,2022-01-01,0.1836077668602955
BOC,2022-02-01,0.3875824452088961
BOC,2022-03-01,0.5987959621601807
BOC,2022-04-01,0.5479167522254655
BOC,2022-05-01,0.7590638406232317
BOC,2022-06-01,0.5554684290285192
BOC,2022-07-01,0.30850978206619994
BOC,2022-08-01,0.1772826684399044
BOC,2022-09-01,0.23893625649508587
BOC,2022-10-01,0.30029779215076735
BOC,2022-11-01,0.1415614686597284
BOC,2022-12-01,-0.05576660055956881
BOC,2023-01-01,0.2592371470656275
BOC,2023-02-01,0.12144665588164404
BOC,2023-03-01,-0.035968011671932185
BOC,2023-04-01,0.09682525012829421
BOC,2023-05-01,-0.09337933949370898
BOC,2023-06-01,-0.1883409814292655
BOC,2023-07-01,-0.048133969816072195
BOC,2023-08-01,0.01284290268366009
BOC,2023-09-01,-0.015720656064434835
BOC,2023-10-01,-0.043114258121120776
BOC,2023-11-01,-0.003626018873377503
BOC,2023-12-01,-0.1778479886922788
BOC,2024-01-01,-0.06972664927070212
BOC,2024-02-01,0.056056146739187185
BOC,2024-03-01,-0.021154575930932715
BOC,2024-04-01,0.01581750857624021
BOC,2024-05-01,-0.04798944233040237
BOC,2024-06-01,0.028135751638097187
BOC,2024-07-01,0.014875762621981542
BOC,2024-08-01,-0.14587462677619276
BOC,2024-09-01,-0.10389985558351465
BOC,2024-10-01,-0.04829101861939271
BOC,2024-11-01,-0.06575195888526218
BOC,2024-12-01,0.03537655355271087
BOC,2025-01-01,0.14119263770121906
BOC,2025-02-01,0.15380723741513844
BOC,2025-03-01,-0.08829196665074997
BOC,2025-04-01,-0.20109245597632597
BOC,2025-05-01,-0.14340755495483132
BOC,2025-06-01,-0.10241971351373567
BOC,2025-07-01,-0.19407942282801588
BOC,2025-08-01,-0.19480191519277126
BOC,2025-09-01,0.05327229324660312
BOC,2025-10-01,-0.03571500472483654
BOC,2025-11-01,-0.017808354876258568
BOC,2025-12-01,0.010107923066723175
BOC,2026-01-01,0.0680417168123387
BOC,2026-02-01,0.05452840420618209
BOC,2026-03-01,0.09261979017610872
BOC,2026-04-01,0.016764642930033668
