central_bank_code,indicator_key,indicator,indicator_category,observations,contribution_pearson_ic,contribution_spearman_ic,contribution_hit_rate,impact_score
RBA,producer_price_index_yoy,Producer Price Index (YoY),Inflation,24,-0.3060168722892729,-0.2094494050177552,0.4166666666666667,-0.2491765909832963
RBA,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),Inflation,23,-0.27741967424061165,-0.18619891888935503,0.34782608695652173,-0.2554390780045036
RBA,thomson_reuters_ipsos_pcsi,Thomson Reuters IPSOS PCSI,Sentiment,21,-0.2993495494964853,-0.212987012987013,0.38095238095238093,-0.26118992626339416
RBA,export_price_index_qoq,Export Price Index (QoQ),Inflation,24,-0.2555231955460438,-0.3078930275003067,0.375,-0.2701295060231139
RBA,exports_mom,Exports (MoM),Trade,73,-0.33541722877463537,-0.2735081334651146,0.410958904109589,-0.28537749278301644
RBA,private_sector_credit_mom,Private Sector Credit (MoM),Growth,72,-0.3800376653462562,-0.31845418122501407,0.4444444444444444,-0.30777730926285457
RBNZ,capacity_utilization,Capacity Utilization,Growth,25,0.031597028324331304,0.031165835319636837,0.64,0.08114826475805671
RBNZ,cpi_headline_qoq,Headline CPI (QoQ),Inflation,25,-0.0011567625621555246,0.055202069712839294,0.52,0.023982239632774034
RBNZ,credit_card_spending_yoy,Credit Card Spending (YoY),Growth,63,0.016111627964701076,-0.012964719741610786,0.5396825396825397,0.020039413932883166
RBNZ,business_confidence,Business Confidence,Growth,74,-0.032050516326363965,-0.0017919554530725224,0.5540540540540541,0.005058776822517885
RBNZ,imports,Imports,Growth,74,-0.0017361271795660724,0.017657166627777738,0.4864864864864865,-0.00097631900685511
RBNZ,exports,Exports,Growth,75,-0.0012959969570531084,-0.013770342573789784,0.48,-0.012779101250663496
RBNZ,balance_of_trade,Balance of Trade,Growth,75,-0.07140436607318737,-0.08739687055476528,0.49333333333333335,-0.06458791086968993
RBNZ,employment_change_qoq,Employment Change (QoQ),Labor,22,-0.03217266805937589,-0.08038520279786462,0.4090909090909091,-0.07656553123268368
RBNZ,participation_rate,Labor Force Participation Rate,Labor,24,-0.05897015563247728,-0.07279885406333002,0.4166666666666667,-0.08465806736857097
RBNZ,cpi_headline_yoy,Headline CPI (YoY),Inflation,25,-0.07202711501871052,-0.095128143424662,0.44,-0.08855200053675386
RBNZ,labour_cost_index_qoq,Labour Cost Index (QoQ),Labor,24,-0.0816002554656856,-0.0864450917052236,0.375,-0.11673365524440989
RBNZ,unemployment_rate,Unemployment Rate,Labor,24,-0.19571748485448862,-0.11551913968133207,0.5,-0.13251448433164392
RBNZ,labour_cost_index_yoy,Labour Cost Index (YoY),Labor,24,-0.12302513437579164,-0.1516012496989774,0.375,-0.15699294209758904
SNB,gdp_qoq,GDP (QoQ),Growth,22,0.3456834279935003,0.2813258588509845,0.5454545454545454,0.2754212898338637
SNB,balance_of_trade,Balance of Trade,Growth,75,0.09446794358219233,0.0896745487500889,0.5333333333333333,0.08746966974945618
SNB,retail_sales_mom,Retail Sales (MoM),Growth,74,0.013486826936530001,0.08660019669737432,0.5,0.0327234724774773
SNB,unemployment_rate,Unemployment Rate,Labor,74,0.04455822023509415,0.02637922582831666,0.47297297297297297,0.01938206705523126
SNB,economic_sentiment_index,Economic Sentiment Index,Sentiment,74,0.03727240275783186,0.024761566260638492,0.44594594594594594,0.004443049635485856
SNB,cpi_headline_yoy,Headline CPI (YoY),Inflation,73,-0.017987744675366266,-0.029469889180324848,0.4931506849315068,-0.020574565119177858
SNB,producer_import_prices_yoy,Producer & Import Prices (YoY),Inflation,75,-0.07620733928380524,-0.029957806515750907,0.4666666666666667,-0.060424344929961224
SNB,producer_import_prices_mom,Producer & Import Prices (MoM),Inflation,67,-0.1117072333686717,-0.0712073136132409,0.4626865671641791,-0.09214118390263647
SNB,retail_sales_yoy,Retail Sales (YoY),Growth,73,-0.12570734350211799,-0.09898393240810165,0.4383561643835616,-0.11720638572006484
SNB,consumer_confidence,Consumer Confidence,Sentiment,43,-0.19988012069587716,-0.27991697704831925,0.46511627906976744,-0.1978686418345274
SNB,cpi_headline_mom,Headline CPI (MoM),Inflation,57,-0.2076673157875305,-0.2305357458639092,0.40350877192982454,-0.2115908728810082
