central_bank_code,indicator_key,indicator,indicator_category,observations,contribution_pearson_ic,contribution_spearman_ic,contribution_hit_rate,impact_score
ECB,core_cpi_yoy,Core HICP (YoY),Inflation,75,0.009171341590515827,0.012608199421387509,0.52,0.016368130621674172
ECB,zew_economic_sentiment,ZEW Economic Sentiment Index,Sentiment,75,-0.05287265794350405,-0.04634522786036218,0.49333333333333335,-0.043006563996527344
ECB,construction_output_yoy,Construction Output (YoY),Growth,73,0.029771037605846266,-0.22827648066815112,0.410958904109589,-0.08921386375368659
ECB,cpi_headline_yoy,Headline HICP (YoY),Inflation,75,-0.10326549105054544,-0.1048001142062269,0.4533333333333333,-0.10173944645380746
ECB,construction_output_mom,Construction Output (MoM),Growth,21,-0.010840615492781862,-0.1656920427752298,0.38095238095238093,-0.10274696819800751
ECB,manufacturing_pmi,Manufacturing PMI,Growth,68,-0.11755877347350309,-0.13054516387061982,0.45588235294117646,-0.1155899947214669
ECB,gdp_qoq,GDP (QoQ),Growth,23,-0.4295702780168106,-0.01741335772128275,0.4782608695652174,-0.22870479849870318
ECB,economic_sentiment,Economic Sentiment,Sentiment,76,-0.23085824104523284,-0.2843235172948792,0.40789473684210525,-0.23756828097423807
ECB,cpi_headline_mom,Headline HICP (MoM),Inflation,71,-0.21419842615930854,-0.26719319686056364,0.36619718309859156,-0.24077829889838676
FED,sp_global_composite_pmi,S&P Global Composite PMI,Growth,31,0.35821985431031345,0.3009691347496855,0.5483870967741935,0.2887555062897398
FED,sp_global_services_pmi,S&P Global Services PMI,Growth,31,0.3619831974650502,0.32136378691474027,0.5161290322580645,0.283852347710173
FED,sp_global_manufacturing_pmi,S&P Global Manufacturing PMI,Growth,29,0.27229654929431873,0.26709377209248,0.5517241379310345,0.23696606144731713
FED,retail_sales_mom,Retail Sales (MoM),Growth,38,0.046381931640030724,0.4057899910876115,0.7105263157894737,0.22913848946208826
FED,challenger_job_cuts,Challenger Job Cuts,Labor,35,0.1655400198707806,0.21792717086834737,0.6857142857142857,0.2224338754816088
FED,ism_manufacturing_employment,ISM Manufacturing Employment,Growth,33,0.18922867653908426,0.1725464186291459,0.6666666666666666,0.21304493052495255
FED,avg_hourly_earnings_mom,Average Hourly Earnings (MoM),Labor,37,0.1479089523427203,0.2605757371023139,0.6486486486486487,0.21158665676151378
FED,adp_employment_change,ADP Employment Change,Labor,35,0.1589518221667195,0.23180895077506328,0.6285714285714286,0.20044716774445015
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,45,0.17187386068643987,0.17582655329518934,0.6,0.1786848963317767
FED,philly_fed_mfg,Philadelphia Fed Manufacturing Index,Growth,40,0.1833810502140674,0.17655612383980568,0.575,0.17465736225897538
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,45,0.20416377764899327,0.16333127091513683,0.5555555555555556,0.1733034923212599
FED,unemployment_rate,Unemployment Rate,Labor,36,0.18117127321285426,0.2287010019010298,0.5277777777777778,0.1703070482878472
FED,ppi_mom,PPI (MoM),Inflation,35,0.16581091172844584,0.12173518709330068,0.6,0.15942601199221312
FED,ny_empire_state_mfg,NY Empire State Manufacturing Index,Growth,39,0.16834982543349725,0.17410669185261257,0.5384615384615384,0.15179153565714779
FED,ism_services_employment,ISM Services Employment,Growth,26,0.17231691675327596,0.15263526182910114,0.5384615384615384,0.14733365230998371
FED,participation_rate,Labor Force Participation Rate,Labor,36,0.13484798765924572,0.09462381370759781,0.5833333333333334,0.12914447127523554
FED,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,33,0.12765519879523324,0.15330604030658793,0.5454545454545454,0.12800122967141117
FED,core_ppi_mom,Core PPI (MoM),Inflation,32,0.13325416828088016,0.12044335340712452,0.53125,0.11526009016257743
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,42,0.12588562272672857,0.10747541975852382,0.5476190476190477,0.1142330563385405
FED,new_home_sales,New Home Sales,Housing,43,0.14844641537456454,0.13818099454858868,0.46511627906976744,0.10172401767976584
FED,private_nonfarm_payrolls,Private Nonfarm Payrolls,Labor,37,0.10988497511762668,0.0144626874772465,0.5945945945945946,0.09711913163982513
FED,government_payrolls,Government Payrolls,Labor,37,0.1330332474221489,-0.02880853606492928,0.5945945945945946,0.09571190072943352
FED,manufacturing_payrolls,Manufacturing Payrolls,Labor,37,0.11665325306706867,0.03071267833378825,0.5675675675675675,0.09456745706069783
FED,average_weekly_hours,Average Weekly Hours,Labor,37,0.06745280192569812,0.10836004426302329,0.5675675675675675,0.09326144126878307
FED,import_prices_yoy,Import Prices (YoY),Inflation,38,0.12266574842626762,0.13485114562410974,0.47368421052631576,0.09126190211089305
FED,ism_manufacturing_new_orders,ISM Manufacturing New Orders,Growth,33,0.0962332660705926,0.06502842222356495,0.5454545454545454,0.08580697788418395
FED,nfp,Non-Farm Payrolls,Labor,37,0.11308588075246272,-0.04350660905040545,0.5945945945945946,0.08132879549894757
FED,export_prices_yoy,Export Prices (YoY),Inflation,39,0.09449993109167229,0.08502454588549722,0.5128205128205128,0.07788553443969043
FED,ppi_yoy,PPI (YoY),Inflation,36,0.12456831202200072,0.08846254070667547,0.4722222222222222,0.07771180711189189
FED,core_ppi_yoy,Core PPI (YoY),Inflation,36,0.13627565392627772,0.0923433807562628,0.4444444444444444,0.07361861896779548
FED,cpi_headline_mom,Headline CPI (MoM),Inflation,32,0.038483381438318295,0.12249607883482155,0.53125,0.06849051436960561
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,40,0.032351584503301334,0.022219930823109628,0.6,0.06284177149858355
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,36,0.1114885967377039,0.09672851935274539,0.4444444444444444,0.06254063195245332
FED,export_prices_mom,Export Prices (MoM),Inflation,37,0.01274902939379801,0.06422515529958517,0.5405405405405406,0.04185827750299079
FED,ism_manufacturing_prices,ISM Manufacturing Prices Paid,Growth,33,0.05152793522957157,0.03977272727272728,0.48484848484848486,0.03163517973599791
FED,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,36,-0.004289368842375663,0.02499518344871639,0.5277777777777778,0.016464981724538204
