central_bank_code,month,indicator_key,value_normalized,indicator,indicator_category,signed_weight,contribution
BOC,2020-08-01,retail_sales_ex_autos_mom,0.0376805718474903,Retail Sales Ex Autos (MoM),Growth,0.02571506160918533,0.0009689582265275475
BOC,2020-08-01,retail_sales_mom,0.0010751093556755,Retail Sales (MoM),Growth,-0.014649595799198133,-1.5749917500582417e-05
BOC,2020-08-01,retail_sales_yoy,-0.1068673092189778,Retail Sales (YoY),Growth,0.0321505005935775,-0.003435837488478776
BOC,2020-08-01,unemployment_rate,1.9120177615789915,Unemployment Rate,Labor,-0.011675734969682432,-0.02232421264152176
BOC,2020-08-01,wholesale_sales_mom,-0.0494972930944544,Wholesale Sales (MoM),Growth,0.006155659238182199,-0.00030468846950189017
BOC,2020-09-01,balance_of_trade,-1.0718668973712526,Balance of Trade,Trade,0.03713303082914203,-0.03980166654482354
BOC,2020-09-01,budget_balance,-1.6040554370483062,Budget Balance,Growth,0.022165876299863732,-0.03555529439573661
BOC,2020-09-01,core_cpi_yoy,-1.2655584092484184,Core CPI (YoY),Inflation,-0.006547838696679133,0.00828667232498448
BOC,2020-09-01,cpi_headline_mom,-0.8930645435708017,Headline CPI (MoM),Inflation,0.035063565123467394,-0.03131402678295449
BOC,2020-09-01,cpi_headline_yoy,-1.313607869940696,Headline CPI (YoY),Inflation,0.05360716239741377,-0.07041879041043167
BOC,2020-09-01,employment_change,1.1631320628617496,Employment Change,Labor,0.03920873241256186,0.045604933813217424
BOC,2020-09-01,exports,-1.539400564740343,Exports,Trade,0.0333564046264773,-0.05134886811970655
BOC,2020-09-01,full_time_employment_change,1.5354825907398526,Full-Time Employment Change,Labor,0.03840365823982607,0.05896814864797602
BOC,2020-09-01,gdp_mom,0.3396278238390602,GDP (MoM),Growth,0.0059200559884897315,0.002010615732376164
BOC,2020-09-01,imports,-1.2785632113821783,Imports,Trade,0.0249490385005521,-0.0318989227861635
BOC,2020-09-01,ivey_pmi_sa,-0.0841911274795963,Ivey PMI s.a.,Growth,0.033055452820978534,-0.002782975842346785
BOC,2020-09-01,manufacturing_sales_mom,0.2549449993255283,Manufacturing Sales (MoM),Growth,0.006562575809665964,0.0016730958853690173
BOC,2020-09-01,new_housing_price_index_mom,1.7824342304441787,New Housing Price Index (MoM),Housing,-0.026984602905068197,-0.048098279912936984
BOC,2020-09-01,new_housing_price_index_yoy,-0.1236593958123635,New Housing Price Index (YoY),Housing,0.012696870154716435,-0.0015700872920402645
BOC,2020-09-01,new_motor_vehicle_sales,1.0968093230035558,New Motor Vehicle Sales,Growth,0.012902579506752465,0.014151669493800725
BOC,2020-09-01,part_time_employment_change,0.317549344659178,Part-Time Employment Change,Labor,-0.0030072234519313013,-0.0009549418364044957
BOC,2020-09-01,ppi_mom,-0.4311823058389492,PPI (MoM),Inflation,0.009163410622786333,-0.003951100521682132
BOC,2020-09-01,ppi_yoy,-0.9964191484545198,PPI (YoY),Inflation,0.03754761994627243,-0.03741316749335872
BOC,2020-09-01,raw_materials_prices_mom,-0.6268172258436557,Raw Materials Prices (MoM),Inflation,-0.010871747526889766,0.006814598624877668
BOC,2020-09-01,raw_materials_prices_yoy,-0.9138169525982466,Raw Materials Prices (YoY),Inflation,0.034657558383766995,-0.031670664386749765
BOC,2020-09-01,retail_sales_ex_autos_mom,0.1668711038960288,Retail Sales Ex Autos (MoM),Growth,0.02571506160918533,0.004291100717479147
BOC,2020-09-01,retail_sales_mom,0.1384203295432236,Retail Sales (MoM),Growth,-0.014649595799198133,-0.0020278018782000297
BOC,2020-09-01,retail_sales_yoy,0.0131188834765365,Retail Sales (YoY),Growth,0.0321505005935775,0.0004217786709994608
BOC,2020-09-01,unemployment_rate,1.2436543278649097,Unemployment Rate,Labor,-0.011675734969682432,-0.014520578326049227
BOC,2020-09-01,wholesale_sales_mom,0.119004130205816,Wholesale Sales (MoM),Growth,0.006155659238182199,0.0007325488734832685
BOC,2020-10-01,balance_of_trade,-1.264234174965871,Balance of Trade,Trade,0.03713303082914203,-0.046944846594262624
BOC,2020-10-01,budget_balance,-0.8653253936447615,Budget Balance,Growth,0.022165876299863732,-0.019180695634660672
