ranking_id,date,window_months,currency,country_code,cb_strength_score,cb_pressure_normalized,strength_label,trend_label,confidence,rank_strongest,rank_weakest,percentile_rank,processed_at
1,2020-01-17,1,EUR,EU,0.000000,0.000000,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
2,2020-01-17,2,EUR,EU,0.000000,0.000000,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
3,2020-01-17,3,EUR,EU,0.000000,0.000000,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
4,2020-01-21,1,EUR,EU,0.000000,0.000000,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
5,2020-01-21,2,EUR,EU,0.000000,0.000000,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
6,2020-01-21,3,EUR,EU,0.000000,0.000000,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
7,2020-01-23,1,AUD,AU,-1.154499,-0.034937,weak,flat,low,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
8,2020-01-23,1,EUR,EU,0.558547,0.000000,mild_strong,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
9,2020-01-23,1,JPY,JP,0.595951,0.000763,mild_strong,flat,low,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
10,2020-01-23,2,AUD,AU,-1.154499,-0.034937,weak,flat,low,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
11,2020-01-23,2,EUR,EU,0.558547,0.000000,mild_strong,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
12,2020-01-23,2,JPY,JP,0.595951,0.000763,mild_strong,flat,low,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
13,2020-01-23,3,AUD,AU,-1.154499,-0.034937,weak,flat,low,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
14,2020-01-23,3,EUR,EU,0.558547,0.000000,mild_strong,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
15,2020-01-23,3,JPY,JP,0.595951,0.000763,mild_strong,flat,low,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
16,2020-01-24,1,EUR,EU,-0.707107,0.013393,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
17,2020-01-24,1,JPY,JP,0.707107,0.017045,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
18,2020-01-24,2,EUR,EU,-0.707107,0.013393,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
19,2020-01-24,2,JPY,JP,0.707107,0.017045,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
20,2020-01-24,3,EUR,EU,-0.707107,0.013393,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
21,2020-01-24,3,JPY,JP,0.707107,0.017045,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
22,2020-01-28,1,AUD,AU,0.000000,-0.034937,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
23,2020-01-28,2,AUD,AU,0.000000,-0.034937,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
24,2020-01-28,3,AUD,AU,0.000000,-0.034937,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
25,2020-01-29,1,AUD,AU,-0.707107,-0.034937,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
26,2020-01-29,1,JPY,JP,0.707107,0.022472,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
27,2020-01-29,2,AUD,AU,-0.707107,-0.034937,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
28,2020-01-29,2,JPY,JP,0.707107,0.022472,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
29,2020-01-29,3,AUD,AU,-0.707107,-0.034937,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
30,2020-01-29,3,JPY,JP,0.707107,0.022472,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
31,2020-01-30,1,AUD,AU,-1.073832,-0.034937,weak,flat,low,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
32,2020-01-30,1,EUR,EU,0.169269,0.015329,neutral,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
33,2020-01-30,1,JPY,JP,0.904563,0.045062,mild_strong,flat,low,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
34,2020-01-30,2,AUD,AU,-1.073832,-0.034937,weak,flat,low,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
35,2020-01-30,2,EUR,EU,0.169269,0.015329,neutral,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
36,2020-01-30,2,JPY,JP,0.904563,0.045062,mild_strong,flat,low,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
37,2020-01-30,3,AUD,AU,-1.073832,-0.034937,weak,flat,low,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
38,2020-01-30,3,EUR,EU,0.169269,0.015329,neutral,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
39,2020-01-30,3,JPY,JP,0.904563,0.045062,mild_strong,flat,low,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
40,2020-01-31,1,CAD,CA,-0.889797,-0.061864,mild_weak,flat,low,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
41,2020-01-31,1,AUD,AU,-0.192437,-0.034937,neutral,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
42,2020-01-31,1,EUR,EU,1.082234,0.014282,strong,flat,medium,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
