central_bank_code,target_family,target_indicator_key,target_indicator,indicator_key,indicator,indicator_category,importance,observations,pearson_correlation,spearman_correlation,abs_pearson,abs_spearman,direction,same_macro_theme,pca_score,model_importance_score,coverage_score,raw_weight_score,economic_direction_for_currency,justification,normalized_weight,weight_pct
ECB,unemployment,unemployment_rate,Unemployment Rate,consumer_confidence,Consumer Confidence,Sentiment,2,75,0.31794560674617794,0.12021319461796248,0.31794560674617794,0.12021319461796248,positive,False,0.3070804442109299,0.021380910250713,1.0,0.27833555564803447,currency_negative,weak positive Pearson correlation (0.32); Spearman 0.12; PCA loading signal 0.31; model importance signal 0.02,0.07668029329284536,7.668029329284535
RBNZ,gdp_growth,balance_of_trade,Balance of Trade,unemployment_rate,Unemployment Rate,Labor,1,24,0.38555025598359655,0.4136892964437137,0.38555025598359655,0.4136892964437137,positive,False,0.3784887413353238,0.0229660827862008,0.3333333333333333,0.30376847693116743,currency_positive,weak positive Pearson correlation (0.39); Spearman 0.41; PCA loading signal 0.38; model importance signal 0.02,0.07579382050044572,7.579382050044573
BOC,unemployment,unemployment_rate,Unemployment Rate,cpi_headline_yoy,Headline CPI (YoY),Inflation,1,76,-0.7034072156550026,-0.774756485001441,0.7034072156550026,0.774756485001441,negative,False,0.3886655144833463,0.1197975739411178,1.0,0.5562988418737814,currency_positive,strong negative Pearson correlation (-0.70); Spearman -0.77; PCA loading signal 0.39; model importance signal 0.12,0.0744214952392022,7.442149523920221
SNB,unemployment,unemployment_rate,Unemployment Rate,balance_of_trade,Balance of Trade,Growth,2,76,0.18225637910553774,0.21557552107759967,0.18225637910553774,0.21557552107759967,positive,False,0.2539915897582966,0.0157119836421047,1.0,0.24618154132283246,currency_negative,weak positive Pearson correlation (0.18); Spearman 0.22; PCA loading signal 0.25; model importance signal 0.02,0.07394511711460965,7.394511711460964
RBNZ,inflation,cpi_headline_yoy,Headline CPI (YoY),imports,Imports,Growth,2,25,0.4439285602399812,0.3992683713815185,0.4439285602399812,0.3992683713815185,positive,False,0.3937952279188587,0.0310562767632106,0.3472222222222222,0.3239171726456606,policy_tightening_positive_but_regime_dependent,moderate positive Pearson correlation (0.44); Spearman 0.40; PCA loading signal 0.39; model importance signal 0.03,0.07349040357294798,7.349040357294798
BOC,unemployment,unemployment_rate,Unemployment Rate,exports,Exports,Trade,2,75,-0.7875321295728707,-0.5999147980996693,0.7875321295728707,0.5999147980996693,negative,False,0.2886449814289138,0.2052364482131246,1.0,0.5430888913452308,currency_positive,strong negative Pearson correlation (-0.79); Spearman -0.60; PCA loading signal 0.29; model importance signal 0.21,0.07265427194774389,7.265427194774389
SNB,unemployment,unemployment_rate,Unemployment Rate,cpi_headline_mom,Headline CPI (MoM),Inflation,2,57,-0.19298552039420772,-0.19141561909196717,0.19298552039420772,0.19141561909196717,negative,False,0.3152657194908059,0.0343057008385015,0.7916666666666666,0.2379252452542127,currency_positive,weak negative Pearson correlation (-0.19); Spearman -0.19; PCA loading signal 0.32; model importance signal 0.03,0.07146518796782453,7.146518796782453
SNB,inflation,cpi_headline_yoy,Headline CPI (YoY),retail_sales_mom,Retail Sales (MoM),Growth,2,73,-0.04701817253752992,0.1743456637385698,0.04701817253752992,0.1743456637385698,negative,False,0.7011432682807085,0.0181891302805581,1.0,0.27827252494719534,disinflationary_or_growth_sensitive,weak negative Pearson correlation (-0.05); Spearman 0.17; PCA loading signal 0.70; model importance signal 0.02,0.07131696410224211,7.131696410224212
SNB,inflation,cpi_headline_yoy,Headline CPI (YoY),retail_sales_yoy,Retail Sales (YoY),Growth,2,72,-0.10537930702745656,-0.2512755230007859,0.10537930702745656,0.2512755230007859,negative,False,0.5032961671292822,0.0335679069425691,1.0,0.2781687509719017,disinflationary_or_growth_sensitive,weak negative Pearson correlation (-0.11); Spearman -0.25; PCA loading signal 0.50; model importance signal 0.03,0.0712903684299882,7.12903684299882
ECB,gdp_growth,gdp_qoq,GDP (QoQ),consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,2,23,-0.07309734965220116,0.0838743294435941,0.07309734965220116,0.0838743294435941,negative,False,0.5136478377762088,0.0188845984614815,0.3194444444444444,0.16631550776699305,currency_negative,weak negative Pearson correlation (-0.07); Spearman 0.08; PCA loading signal 0.51; model importance signal 0.02,0.07087800847849857,7.087800847849857
RBNZ,inflation,cpi_headline_yoy,Headline CPI (YoY),balance_of_trade,Balance of Trade,Growth,2,25,-0.5016265424346938,-0.3701139507331991,0.5016265424346938,0.3701139507331991,negative,False,0.227155757833053,0.055144889755238,0.3472222222222222,0.30949564276761016,disinflationary_or_growth_sensitive,moderate negative Pearson correlation (-0.50); Spearman -0.37; PCA loading signal 0.23; model importance signal 0.06,0.07021844351531732,7.021844351531732
SNB,gdp_growth,gdp_qoq,GDP (QoQ),cpi_headline_mom,Headline CPI (MoM),Inflation,2,18,0.23014634044852147,0.27839505458128516,0.23014634044852147,0.27839505458128516,positive,False,0.3152657194908059,0.023908853843775,0.25,0.2105352477126003,currency_positive,weak positive Pearson correlation (0.23); Spearman 0.28; PCA loading signal 0.32; model importance signal 0.02,0.0698070786695182,6.98070786695182
RBNZ,inflation,cpi_headline_yoy,Headline CPI (YoY),employment_change_qoq,Employment Change (QoQ),Labor,1,22,0.36853928563191884,0.38304521936963415,0.36853928563191884,0.38304521936963415,positive,False,0.4463998715192522,0.0158667347146446,0.3055555555555556,0.30077570689401306,policy_tightening_positive_but_regime_dependent,weak positive Pearson correlation (0.37); Spearman 0.38; PCA loading signal 0.45; model importance signal 0.02,0.06824006243336742,6.824006243336742
ECB,gdp_growth,gdp_qoq,GDP (QoQ),cpi_headline_yoy,Headline HICP (YoY),Inflation,1,23,0.024381843443353507,0.14734006834008223,0.024381843443353507,0.14734006834008223,positive,False,0.4592560903435156,0.0455404853214193,0.3194444444444444,0.15913498991194103,currency_positive,weak positive Pearson correlation (0.02); Spearman 0.15; PCA loading signal 0.46; model importance signal 0.05,0.06781791617415729,6.781791617415729
SNB,gdp_growth,gdp_qoq,GDP (QoQ),cpi_headline_yoy,Headline CPI (YoY),Inflation,1,21,0.1140874000769433,0.19652306714116755,0.1140874000769433,0.19652306714116755,positive,False,0.5163344998946099,0.0459746867157281,0.2916666666666667,0.20345340684068675,currency_positive,weak positive Pearson correlation (0.11); Spearman 0.20; PCA loading signal 0.52; model importance signal 0.05,0.06745895583383262,6.745895583383262
