central_bank_code,left_indicator_key,left_indicator,left_category,left_importance,right_indicator_key,right_indicator,right_category,right_importance,observations,correlation,abs_correlation
FED,ism_services_employment,ISM Services Employment,Growth,2,participation_rate,Labor Force Participation Rate,Labor,2,26,0.5137947514341894,0.5137947514341894
BOC,cpi_headline_yoy,Headline CPI (YoY),Inflation,1,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,3,75,0.5135479110945753,0.5135479110945753
FED,challenger_job_cuts,Challenger Job Cuts,Labor,3,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,1,33,-0.5133953239713998,0.5133953239713998
FED,ism_manufacturing_employment,ISM Manufacturing Employment,Growth,2,ppi_yoy,PPI (YoY),Inflation,2,32,0.5131459930115518,0.5131459930115518
BOE,ppi_output_mom,PPI Output (MoM),Inflation,3,ppi_output_yoy,PPI Output (YoY),Inflation,3,58,0.5127275089050902,0.5127275089050902
RBA,manufacturing_pmi,Manufacturing PMI,Growth,2,services_pmi,Services PMI,Growth,2,59,0.512402510832783,0.512402510832783
BOE,ppi_core_output_yoy,PPI Core Output (YoY),Inflation,3,services_pmi,Services PMI,Growth,1,21,-0.5123269768607149,0.5123269768607149
ECB,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,2,cpi_headline_yoy,Headline HICP (YoY),Inflation,1,76,0.5123233005125636,0.5123233005125636
FED,challenger_job_cuts,Challenger Job Cuts,Labor,3,cpi_headline_yoy,Headline CPI (YoY),Inflation,1,35,-0.5120041855551989,0.5120041855551989
FED,cpi_headline_mom,Headline CPI (MoM),Inflation,2,manufacturing_payrolls,Manufacturing Payrolls,Labor,2,31,0.5118114333832344,0.5118114333832344
FED,manufacturing_payrolls,Manufacturing Payrolls,Labor,2,pce_price_index_mom,PCE Price Index (MoM),Inflation,1,30,0.5116467603935274,0.5116467603935274
BOC,exports,Exports,Trade,2,vehicle_sales_mom,Vehicle Sales (MoM),Growth,3,20,-0.510379243303689,0.510379243303689
BOJ,household_spending_yoy,Household Spending (YoY),Growth,2,tankan_large_manufacturing_outlook,Tankan Large Manufacturing Outlook,Sentiment,2,25,0.5102053188167599,0.5102053188167599
BOE,ppi_core_output_yoy,PPI Core Output (YoY),Inflation,3,unemployment_rate,Unemployment Rate,Labor,1,66,-0.5094652644539993,0.5094652644539993
FED,challenger_job_cuts,Challenger Job Cuts,Labor,3,ppi_yoy,PPI (YoY),Inflation,2,34,-0.5093894410040315,0.5093894410040315
BOC,balance_of_trade,Balance of Trade,Trade,2,core_cpi_yoy,Core CPI (YoY),Inflation,1,75,0.5091802690711108,0.5091802690711108
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,1,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,1,42,0.5087092087796947,0.5087092087796947
BOJ,consumer_confidence,Consumer Confidence,Sentiment,2,tankan_large_non_manufacturing_index,Tankan Large Non-Manufacturing Index,Sentiment,2,25,0.5086802374240764,0.5086802374240764
BOC,exports,Exports,Trade,2,new_housing_price_index_mom,New Housing Price Index (MoM),Housing,2,64,-0.5085985277009418,0.5085985277009418
RBA,commodity_prices_yoy,Commodity Prices (YoY),Inflation,3,cpi_headline_yoy,Headline CPI (YoY),Inflation,1,20,0.5084359702815391,0.5084359702815391
BOE,avg_earnings_incl_bonus,Average Earnings (incl. Bonus),Labor,2,cpi_headline_yoy,Headline CPI (YoY),Inflation,1,74,0.5072715927350978,0.5072715927350978
BOJ,composite_pmi,S&P Global Composite PMI,Growth,2,industrial_production_yoy,Industrial Production (YoY),Growth,2,72,0.5072517169307109,0.5072517169307109
FED,export_prices_yoy,Export Prices (YoY),Inflation,3,ism_manufacturing_employment,ISM Manufacturing Employment,Growth,2,32,0.5072489526096197,0.5072489526096197
BOC,full_time_employment_change,Full-Time Employment Change,Labor,1,ivey_pmi_sa,Ivey PMI s.a.,Growth,2,72,0.5065220909927396,0.5065220909927396
BOC,raw_materials_prices_mom,Raw Materials Prices (MoM),Inflation,3,wholesale_sales_mom,Wholesale Sales (MoM),Growth,2,73,0.5063434833303949,0.5063434833303949
BOJ,core_cpi_yoy,Core CPI (YoY),Inflation,1,tankan_large_all_industry_capex,Tankan Large All Industry Capex,Sentiment,2,25,0.5060048617068248,0.5060048617068248
RBA,private_sector_credit_mom,Private Sector Credit (MoM),Growth,3,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),Inflation,1,21,0.5059916583594769,0.5059916583594769
BOJ,imports_yoy,Imports (YoY),Growth,2,ppi_mom,PPI (MoM),Inflation,2,68,0.5052377428403712,0.5052377428403712
FED,ny_empire_state_mfg,NY Empire State Manufacturing Index,Growth,2,ppi_yoy,PPI (YoY),Inflation,2,25,0.5051064350468749,0.5051064350468749
ECB,manufacturing_pmi,Manufacturing PMI,Growth,2,unemployment_rate,Unemployment Rate,Labor,1,67,0.5050464140122023,0.5050464140122023
BOJ,tankan_non_manufacturing_outlook,Tankan Non-Manufacturing Outlook,Sentiment,2,unemployment_rate,Unemployment Rate,Labor,2,25,-0.5049405882607508,0.5049405882607508
FED,core_ppi_yoy,Core PPI (YoY),Inflation,2,cpi_index,CPI Index,Inflation,2,27,-0.5048453483972464,0.5048453483972464
SNB,gdp_qoq,GDP (QoQ),Growth,1,producer_import_prices_mom,Producer & Import Prices (MoM),Inflation,2,19,0.5048248378160436,0.5048248378160436
BOJ,eco_watchers_current,Eco Watchers Survey Current,Sentiment,2,tertiary_industry_index_mom,Tertiary Industry Index (MoM),Growth,2,74,0.5041426179214983,0.5041426179214983
BOE,cpi_headline_mom,Headline CPI (MoM),Inflation,2,ppi_core_output_yoy,PPI Core Output (YoY),Inflation,3,59,0.5041390414478236,0.5041390414478236
BOJ,imports_yoy,Imports (YoY),Growth,2,industrial_production_yoy,Industrial Production (YoY),Growth,2,75,0.5039825166055413,0.5039825166055413
RBA,ai_group_manufacturing_index,Ai Group Manufacturing Index,Growth,3,manufacturing_pmi,Manufacturing PMI,Growth,2,53,0.5039737046853148,0.5039737046853148
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,1,pce_price_index_mom,PCE Price Index (MoM),Inflation,1,40,0.5039450265871451,0.5039450265871451
RBA,ai_group_manufacturing_index,Ai Group Manufacturing Index,Growth,3,export_price_index_qoq,Export Price Index (QoQ),Inflation,2,23,0.503850003155766,0.503850003155766
FED,core_cpi_mom,Core CPI (MoM),Inflation,1,nfp,Non-Farm Payrolls,Labor,1,33,0.5037939495679121,0.5037939495679121
BOC,core_cpi_yoy,Core CPI (YoY),Inflation,1,exports,Exports,Trade,2,75,0.5037036376149876,0.5037036376149876
FED,challenger_job_cuts,Challenger Job Cuts,Labor,3,ism_manufacturing_prices,ISM Manufacturing Prices Paid,Growth,2,33,-0.5031148896528357,0.5031148896528357
BOE,avg_earnings_excl_bonus,Average Earnings (excl. Bonus),Labor,1,retail_price_index_yoy,Retail Price Index (YoY),Inflation,3,73,0.502718286781946,0.502718286781946
RBA,composite_pmi,Composite PMI,Growth,2,housing_credit_mom,Housing Credit (MoM),Growth,3,38,0.5022985754822242,0.5022985754822242
BOJ,household_spending_yoy,Household Spending (YoY),Growth,2,reuters_tankan_index,Reuters Tankan Index,Sentiment,2,74,0.5021976807161428,0.5021976807161428
BOJ,cpi_ex_food_energy_yoy,CPI Ex Food and Energy (YoY),Inflation,1,leading_economic_index,Leading Economic Index,Growth,2,74,0.5020690584317193,0.5020690584317193
FED,ism_manufacturing_employment,ISM Manufacturing Employment,Growth,2,sp_global_manufacturing_pmi,S&P Global Manufacturing PMI,Growth,2,21,0.5020483234623166,0.5020483234623166
BOJ,consumer_confidence,Consumer Confidence,Sentiment,2,manufacturing_pmi,S&P Global Manufacturing PMI,Growth,2,76,0.5018181207872278,0.5018181207872278
RBNZ,balance_of_trade,Balance of Trade,Growth,2,cpi_headline_yoy,Headline CPI (YoY),Inflation,1,25,-0.5016265424346941,0.5016265424346941
RBA,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),Inflation,1,westpac_consumer_confidence_index,Westpac Consumer Confidence Index,Sentiment,2,24,-0.5013141644998965,0.5013141644998965
RBA,private_sector_credit_yoy,Private Sector Credit (YoY),Growth,3,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,2,24,0.5010535920920324,0.5010535920920324
FED,adp_employment_change,ADP Employment Change,Labor,2,retail_sales_yoy,Retail Sales (YoY),Growth,2,33,0.5006415891969583,0.5006415891969583
FED,ism_manufacturing_prices,ISM Manufacturing Prices Paid,Growth,2,sp_global_composite_pmi,S&P Global Composite PMI,Growth,2,21,0.5005704208097672,0.5005704208097672
BOC,new_housing_price_index_mom,New Housing Price Index (MoM),Housing,2,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,3,64,0.5001508342421478,0.5001508342421478
BOC,cpi_headline_mom,Headline CPI (MoM),Inflation,2,ivey_pmi_sa,Ivey PMI s.a.,Growth,2,69,0.4999071012076347,0.4999071012076347
RBA,composite_pmi,Composite PMI,Growth,2,thomson_reuters_ipsos_pcsi,Thomson Reuters IPSOS PCSI,Sentiment,3,18,0.4998994258030544,0.4998994258030544
FED,avg_hourly_earnings_mom,Average Hourly Earnings (MoM),Labor,2,import_prices_mom,Import Prices (MoM),Inflation,3,32,-0.4997544589662501,0.4997544589662501
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,1,government_payrolls,Government Payrolls,Labor,2,34,0.49957324773285694,0.49957324773285694
FED,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,1,core_cpi_mom,Core CPI (MoM),Inflation,1,32,-0.49940753690996564,0.49940753690996564
FED,ppi_yoy,PPI (YoY),Inflation,2,retail_sales_yoy,Retail Sales (YoY),Growth,2,36,0.499270715373081,0.499270715373081
BOJ,coincident_index,Coincident Index,Growth,2,consumer_confidence,Consumer Confidence,Sentiment,2,75,0.499059544346417,0.499059544346417
FED,ism_services_employment,ISM Services Employment,Growth,2,ppi_mom,PPI (MoM),Inflation,2,25,0.49861500863742625,0.49861500863742625
BOE,ppi_output_yoy,PPI Output (YoY),Inflation,3,unemployment_rate,Unemployment Rate,Labor,1,67,-0.497719743451131,0.497719743451131
FED,avg_hourly_earnings_mom,Average Hourly Earnings (MoM),Labor,2,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,1,32,-0.4975517888546443,0.4975517888546443
BOE,consumer_confidence,Consumer Confidence,Sentiment,3,retail_sales_ex_fuel_yoy,Retail Sales Ex Fuel (YoY),Growth,2,74,0.4975397065374986,0.4975397065374986
BOJ,eco_watchers_outlook,Eco Watchers Survey Outlook,Sentiment,2,tertiary_industry_index_mom,Tertiary Industry Index (MoM),Growth,2,74,0.4973060721895074,0.4973060721895074
FED,challenger_job_cuts,Challenger Job Cuts,Labor,3,export_prices_mom,Export Prices (MoM),Inflation,3,33,-0.49706896056522376,0.49706896056522376
BOC,balance_of_trade,Balance of Trade,Trade,2,ppi_yoy,PPI (YoY),Inflation,2,75,0.4968849301323377,0.4968849301323377
FED,ism_manufacturing_employment,ISM Manufacturing Employment,Growth,2,pce_price_index_yoy,PCE Price Index (YoY),Inflation,1,31,0.49684500777771856,0.49684500777771856
BOC,part_time_employment_change,Part-Time Employment Change,Labor,1,raw_materials_prices_mom,Raw Materials Prices (MoM),Inflation,3,74,0.4965580365859682,0.4965580365859682
