central_bank_code,target_indicator_key,target_indicator,target_category,candidate_indicator_key,candidate_indicator,candidate_category,best_lag_periods,best_lag_correlation,abs_best_lag_correlation,observations,tested_max_lag,best_granger_lag,min_granger_p_value,granger_significant_05
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_mom,PPI (MoM),Inflation,4,0.7038268879402774,0.7038268879402774,29,5,1,0.012869071823144977,True
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,export_prices_mom,Export Prices (MoM),Inflation,5,0.6507227439538655,0.6507227439538655,29,5,1,0.013138184323483805,True
BOE,gdp_qoq,GDP (QoQ),Growth,retail_sales_ex_fuel_yoy,Retail Sales Ex Fuel (YoY),Growth,0,0.5311434141656767,0.5311434141656767,24,4,3,0.014141932031850896,True
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,4,0.7604451274566257,0.7604451274566257,27,5,1,0.015714280896809794,True
RBA,cpi_headline_yoy,Headline CPI (YoY),Inflation,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,0,0.71790334038109,0.71790334038109,28,4,3,0.01577922488326869,True
FED,core_cpi_mom,Core CPI (MoM),Inflation,ppi_mom,PPI (MoM),Inflation,1,0.5881992317004748,0.5881992317004748,31,5,5,0.015832875060564088,True
RBA,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),Inflation,export_price_index_qoq,Export Price Index (QoQ),Inflation,6,0.670992115834777,0.670992115834777,18,4,2,0.017764233725888524,True
BOJ,gdp_qoq,GDP (QoQ),Growth,tertiary_industry_index_mom,Tertiary Industry Index (MoM),Growth,0,0.7051276770984002,0.7051276770984002,24,4,1,0.018431846451163712,True
RBA,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),Inflation,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,3,0.7517742452603667,0.7517742452603667,22,4,4,0.01846161050857999,True
FED,core_cpi_mom,Core CPI (MoM),Inflation,export_prices_mom,Export Prices (MoM),Inflation,1,0.567446385154277,0.567446385154277,32,5,1,0.020257800132998476,True
FED,core_cpi_mom,Core CPI (MoM),Inflation,core_ppi_yoy,Core PPI (YoY),Inflation,0,0.5847774445465858,0.5847774445465858,33,5,2,0.021232739271290754,True
BOE,gdp_yoy,GDP (YoY),Growth,industrial_production_yoy,Industrial Production (YoY),Growth,0,0.9296197876439972,0.9296197876439972,73,6,1,0.02158018120237918,True
BOJ,gdp_qoq,GDP (QoQ),Growth,retail_sales_mom,Retail Sales (MoM),Growth,0,0.47580525642079285,0.47580525642079285,24,4,2,0.021787881509625764,True
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,consumer_inflation_expectations,Consumer Inflation Expectations,Inflation,0,0.9428691365990064,0.9428691365990064,34,5,1,0.022246698805006026,True
BOE,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_output_mom,PPI Output (MoM),Inflation,6,0.43895103872043056,0.43895103872043056,52,6,1,0.022771165741442098,True
RBA,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),Inflation,import_price_index_qoq,Import Price Index (QoQ),Inflation,3,0.7510138304770456,0.7510138304770456,21,4,2,0.02658697939848624,True
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,umich_inflation_exp_5y,UMich 5Y Inflation Expectations,Inflation,5,-0.66194294301332,0.66194294301332,25,5,5,0.02838698895273242,True
RBA,cpi_headline_yoy,Headline CPI (YoY),Inflation,export_price_index_qoq,Export Price Index (QoQ),Inflation,5,0.721645203143833,0.721645203143833,20,4,2,0.02872144509355407,True
BOE,retail_sales_mom,Retail Sales (MoM),Growth,retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),Growth,0,0.9916696892319292,0.9916696892319292,73,6,6,0.028900031237689913,True
FED,core_cpi_mom,Core CPI (MoM),Inflation,import_prices_yoy,Import Prices (YoY),Inflation,0,0.6610956257855082,0.6610956257855082,34,5,2,0.029854860776777313,True
FED,core_cpi_yoy,Core CPI (YoY),Inflation,core_ppi_mom,Core PPI (MoM),Inflation,4,0.6863885865981667,0.6863885865981667,26,5,1,0.030086404958491755,True
FED,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,government_payrolls,Government Payrolls,Labor,6,0.7171913448502808,0.7171913448502808,30,6,6,0.03214004588798573,True
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,ppi_mom,PPI (MoM),Inflation,0,0.6268522704615289,0.6268522704615289,32,5,2,0.03259721700261794,True
FED,nfp,Non-Farm Payrolls,Labor,manufacturing_payrolls,Manufacturing Payrolls,Labor,0,0.9958420019590108,0.9958420019590108,37,6,4,0.033274528260816616,True
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,export_prices_mom,Export Prices (MoM),Inflation,0,0.8433088724044137,0.8433088724044137,32,5,2,0.033505247080351054,True
FED,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,ism_services_employment,ISM Services Employment,Growth,0,0.7286456911562724,0.7286456911562724,25,4,3,0.03408076818185839,True
RBA,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),Inflation,producer_price_index_yoy,Producer Price Index (YoY),Inflation,0,0.874503384316635,0.874503384316635,24,4,1,0.034711595801220414,True
RBA,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),Inflation,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,3,0.7557377319061073,0.7557377319061073,21,4,1,0.034903671924822376,True
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,import_prices_mom,Import Prices (MoM),Inflation,0,0.5384001580467634,0.5384001580467634,33,5,1,0.036110502705378016,True
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,core_rpi_yoy,Core RPI (YoY),Inflation,0,0.9378150386525165,0.9378150386525165,24,4,2,0.04006966526823433,True
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,export_prices_yoy,Export Prices (YoY),Inflation,0,0.6709178460076707,0.6709178460076707,34,5,3,0.041647479470267375,True
FED,core_cpi_mom,Core CPI (MoM),Inflation,consumer_inflation_expectations,Consumer Inflation Expectations,Inflation,1,0.5015985773919265,0.5015985773919265,33,5,2,0.04167646091473493,True
FED,core_cpi_mom,Core CPI (MoM),Inflation,core_ppi_mom,Core PPI (MoM),Inflation,0,0.5431411941084473,0.5431411941084473,29,4,3,0.04290020426843723,True
BOJ,cpi_ex_food_energy_yoy,CPI Ex Food and Energy (YoY),Inflation,cpi_index,Consumer Price Index,Inflation,6,0.7299742305593864,0.7299742305593864,63,6,1,0.04309995492773201,True
BOE,retail_sales_yoy,Retail Sales (YoY),Growth,retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),Growth,1,0.40874442377902803,0.40874442377902803,72,6,1,0.04625563589126967,True
