central_bank_code,target_indicator_key,target_indicator,target_category,candidate_indicator_key,candidate_indicator,candidate_category,best_lag_periods,best_lag_correlation,abs_best_lag_correlation,observations,tested_max_lag,best_granger_lag,min_granger_p_value,granger_significant_05
BOC,retail_sales_mom,Retail Sales (MoM),Growth,retail_sales_ex_autos_mom,Retail Sales Ex Autos (MoM),Growth,0,0.9446829115549437,0.9446829115549437,70,6,3,1.2262094011731935e-12,True
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_input_yoy,PPI Input (YoY),Inflation,6,0.9316263641289709,0.9316263641289709,62,6,3,8.47007942717891e-10,True
FED,unemployment_rate,Unemployment Rate,Labor,adp_employment_change,ADP Employment Change,Labor,0,-0.7373595939126923,0.7373595939126923,34,5,2,1.4023799478153697e-09,True
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_core_output_yoy,PPI Core Output (YoY),Inflation,4,0.9526467870080663,0.9526467870080663,63,6,1,5.919672501021738e-09,True
BOC,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,6,0.8856910770431676,0.8856910770431676,69,6,1,1.8175243670484418e-08,True
BOC,core_cpi_yoy,Core CPI (YoY),Inflation,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,6,0.775959337422969,0.775959337422969,69,6,1,3.0325978521517275e-08,True
BOE,gdp_mom,GDP (MoM),Growth,niesr_monthly_gdp_tracker,NIESR Monthly GDP Tracker,Growth,0,0.6995482984012537,0.6995482984012537,57,6,6,1.6004506404049045e-07,True
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_output_yoy,PPI Output (YoY),Inflation,4,0.9278949195150377,0.9278949195150377,64,6,1,1.8594112530405673e-07,True
FED,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,manufacturing_payrolls,Manufacturing Payrolls,Labor,6,0.6641712213398357,0.6641712213398357,30,6,6,3.481875775531653e-07,True
FED,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,private_nonfarm_payrolls,Private Nonfarm Payrolls,Labor,6,0.6675706831011958,0.6675706831011958,30,6,6,4.2963208157121085e-07,True
FED,nfp,Non-Farm Payrolls,Labor,challenger_job_cuts,Challenger Job Cuts,Labor,0,-0.7821496533477501,0.7821496533477501,35,5,2,7.202893204984246e-07,True
BOC,gdp_mom,GDP (MoM),Growth,retail_sales_ex_autos_mom,Retail Sales Ex Autos (MoM),Growth,0,0.8056575920804453,0.8056575920804453,68,6,4,9.787143772972027e-07,True
BOC,gdp_mom,GDP (MoM),Growth,wholesale_sales_mom,Wholesale Sales (MoM),Growth,0,0.8489873730529127,0.8489873730529127,70,6,5,2.418158383694826e-06,True
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_core_output_mom,PPI Core Output (MoM),Inflation,6,0.7817937818345618,0.7817937818345618,49,6,1,4.83660459986174e-06,True
FED,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,avg_hourly_earnings_mom,Average Hourly Earnings (MoM),Labor,6,-0.5586635537104093,0.5586635537104093,30,6,6,1.1334495319699915e-05,True
FED,core_cpi_yoy,Core CPI (YoY),Inflation,export_prices_yoy,Export Prices (YoY),Inflation,5,0.8579744994884514,0.8579744994884514,30,5,1,1.6921733195347344e-05,True
FED,core_cpi_yoy,Core CPI (YoY),Inflation,import_prices_yoy,Import Prices (YoY),Inflation,5,0.85830449080185,0.85830449080185,30,5,1,2.035275395365789e-05,True
BOE,gdp_qoq,GDP (QoQ),Growth,retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),Growth,0,0.7278607322492896,0.7278607322492896,24,4,3,2.5611004007173183e-05,True
FED,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,3,0.9129362551564242,0.9129362551564242,31,5,1,3.074421825183564e-05,True
SNB,cpi_headline_yoy,Headline CPI (YoY),Inflation,producer_import_prices_yoy,Producer & Import Prices (YoY),Inflation,6,0.8922059181365025,0.8922059181365025,68,6,1,3.081291608404053e-05,True
FED,core_cpi_yoy,Core CPI (YoY),Inflation,consumer_inflation_expectations,Consumer Inflation Expectations,Inflation,2,0.9336727940271977,0.9336727940271977,34,6,1,3.259517311207611e-05,True
FED,unemployment_rate,Unemployment Rate,Labor,challenger_job_cuts,Challenger Job Cuts,Labor,0,0.8513064761078255,0.8513064761078255,35,5,2,3.969035733711637e-05,True
FED,nfp,Non-Farm Payrolls,Labor,participation_rate,Labor Force Participation Rate,Labor,5,-0.5425421181317148,0.5425421181317148,31,6,4,4.63821166193067e-05,True
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,export_prices_yoy,Export Prices (YoY),Inflation,5,0.873522510399167,0.873522510399167,33,6,1,4.648127953961269e-05,True
BOC,retail_sales_mom,Retail Sales (MoM),Growth,wholesale_sales_mom,Wholesale Sales (MoM),Growth,0,0.8482296645382541,0.8482296645382541,72,6,1,4.7836067840048047e-05,True
BOJ,cpi_ex_food_energy_yoy,CPI Ex Food and Energy (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,6,0.49926287915044526,0.49926287915044526,68,6,1,4.829512396415343e-05,True
FED,core_cpi_yoy,Core CPI (YoY),Inflation,cpi_index,CPI Index,Inflation,6,-0.9662474407824881,0.9662474407824881,22,4,1,5.265033091555043e-05,True
BOE,retail_sales_mom,Retail Sales (MoM),Growth,niesr_monthly_gdp_tracker,NIESR Monthly GDP Tracker,Growth,6,0.4960134606591625,0.4960134606591625,56,6,3,5.551946272106463e-05,True
BOE,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_input_yoy,PPI Input (YoY),Inflation,6,0.8121268200553945,0.8121268200553945,62,6,3,6.221434013066465e-05,True
BOC,cpi_headline_yoy,Headline CPI (YoY),Inflation,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,6,0.7589237256753845,0.7589237256753845,69,6,1,7.856542290064134e-05,True
BOC,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,6,0.8302824974230146,0.8302824974230146,69,6,1,8.709300111523199e-05,True
BOC,gdp_mom,GDP (MoM),Growth,manufacturing_sales_mom,Manufacturing Sales (MoM),Growth,0,0.9174787505075283,0.9174787505075283,69,6,2,9.494881441291589e-05,True
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,export_prices_yoy,Export Prices (YoY),Inflation,3,0.9004382400716991,0.9004382400716991,35,6,1,9.942274449111894e-05,True
BOE,retail_sales_yoy,Retail Sales (YoY),Growth,retail_sales_ex_fuel_yoy,Retail Sales Ex Fuel (YoY),Growth,0,0.9838473025619171,0.9838473025619171,73,6,6,0.00010625147815344698,True
FED,nfp,Non-Farm Payrolls,Labor,average_weekly_hours,Average Weekly Hours,Labor,4,0.4313888724645654,0.4313888724645654,33,6,3,0.0001113681368465921,True
ECB,cpi_headline_yoy,Headline HICP (YoY),Inflation,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,6,0.7652860874230513,0.7652860874230513,70,6,1,0.00011290101411756544,True
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,import_prices_yoy,Import Prices (YoY),Inflation,3,0.8723191046071928,0.8723191046071928,32,5,1,0.00012683796116113243,True
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,import_prices_yoy,Import Prices (YoY),Inflation,4,0.8936114171565843,0.8936114171565843,33,6,1,0.00018887011644312893,True
FED,core_cpi_yoy,Core CPI (YoY),Inflation,core_ppi_yoy,Core PPI (YoY),Inflation,3,0.9178867248697032,0.9178867248697032,31,5,1,0.00019274685261163119,True
FED,core_cpi_mom,Core CPI (MoM),Inflation,cpi_index,CPI Index,Inflation,4,-0.7749754916929952,0.7749754916929952,23,4,1,0.00020023544339307632,True
BOE,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_core_output_yoy,PPI Core Output (YoY),Inflation,6,0.8446490630319782,0.8446490630319782,61,6,1,0.00020718764174283097,True
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,cpi_index,CPI Index,Inflation,6,-0.965492913245944,0.965492913245944,22,4,1,0.00021635186968484607,True
FED,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,ism_manufacturing_employment,ISM Manufacturing Employment,Growth,0,0.7197263633582912,0.7197263633582912,33,5,3,0.0002180814722342245,True
FED,core_cpi_yoy,Core CPI (YoY),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,5,0.7822395812824502,0.7822395812824502,27,5,1,0.0002513051910727886,True
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,import_prices_yoy,Import Prices (YoY),Inflation,5,0.8890514661994157,0.8890514661994157,32,6,1,0.0002716007447351353,True
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,export_prices_yoy,Export Prices (YoY),Inflation,3,0.8799486991943265,0.8799486991943265,32,5,1,0.00030480163819089363,True
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,cpi_index,CPI Index,Inflation,6,-0.9607477111599744,0.9607477111599744,20,4,1,0.00032554065657518396,True
RBA,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),Inflation,import_price_index_qoq,Import Price Index (QoQ),Inflation,4,0.7789145443823977,0.7789145443823977,21,4,1,0.00034509471524514165,True
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,cpi_index,CPI Index,Inflation,6,-0.9064707692035909,0.9064707692035909,20,4,1,0.00037591656822710194,True
BOE,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_output_yoy,PPI Output (YoY),Inflation,6,0.8355446028268324,0.8355446028268324,62,6,1,0.0003791021271226982,True
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_output_mom,PPI Output (MoM),Inflation,6,0.6658972668794979,0.6658972668794979,52,6,1,0.0003870510742869848,True
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,3,0.9066108283463181,0.9066108283463181,32,5,1,0.0003892642961100591,True
SNB,cpi_headline_yoy,Headline CPI (YoY),Inflation,producer_import_prices_mom,Producer & Import Prices (MoM),Inflation,6,0.45581230935909933,0.45581230935909933,60,6,1,0.00039388302222287755,True
BOE,core_cpi_yoy,Core CPI (YoY),Inflation,retail_price_index_yoy,Retail Price Index (YoY),Inflation,3,0.9322102226052241,0.9322102226052241,73,6,1,0.000419385659392236,True
ECB,core_cpi_yoy,Core HICP (YoY),Inflation,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,6,0.4294433646140069,0.4294433646140069,70,6,1,0.00044054146017971776,True
BOJ,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,6,0.6620032664579768,0.6620032664579768,68,6,4,0.0004981196476984447,True
FED,unemployment_rate,Unemployment Rate,Labor,average_weekly_hours,Average Weekly Hours,Labor,6,-0.4213731767579289,0.4213731767579289,30,6,6,0.0005723153355620665,True
BOE,gdp_mom,GDP (MoM),Growth,retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),Growth,0,0.7762232366005224,0.7762232366005224,68,6,4,0.0006236769951436377,True
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,1,0.941813917740938,0.941813917740938,33,5,1,0.0006682736865233264,True
FED,unemployment_rate,Unemployment Rate,Labor,avg_hourly_earnings_mom,Average Hourly Earnings (MoM),Labor,1,0.47026657539852573,0.47026657539852573,35,6,3,0.0007193427108726401,True
BOE,gdp_qoq,GDP (QoQ),Growth,industrial_production_yoy,Industrial Production (YoY),Growth,4,-0.6176003722297027,0.6176003722297027,20,4,3,0.0007593669161813165,True
FED,retail_sales_mom,Retail Sales (MoM),Growth,ism_manufacturing_employment,ISM Manufacturing Employment,Growth,5,-0.5272602502056484,0.5272602502056484,24,4,4,0.0007798469119810302,True
BOE,retail_sales_yoy,Retail Sales (YoY),Growth,niesr_monthly_gdp_tracker,NIESR Monthly GDP Tracker,Growth,0,0.5402634648049863,0.5402634648049863,61,6,6,0.0008724113240459231,True
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,1,0.9311251371837455,0.9311251371837455,34,5,1,0.0008901877876224885,True
RBA,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),Inflation,import_price_index_qoq,Import Price Index (QoQ),Inflation,4,0.7048000912058162,0.7048000912058162,20,4,1,0.0010788213743510625,True
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,import_prices_mom,Import Prices (MoM),Inflation,5,0.5838050013660331,0.5838050013660331,28,5,1,0.00124037864924248,True
FED,nfp,Non-Farm Payrolls,Labor,private_nonfarm_payrolls,Private Nonfarm Payrolls,Labor,0,0.9991234239868821,0.9991234239868821,37,6,4,0.001240914770670697,True
FED,nfp,Non-Farm Payrolls,Labor,government_payrolls,Government Payrolls,Labor,0,0.7253509590452637,0.7253509590452637,37,6,4,0.001240914770670697,True
RBA,monthly_cpi_indicator,Monthly CPI Indicator,Inflation,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,3,0.8706241291455152,0.8706241291455152,33,6,1,0.001260082362775434,True
BOE,avg_earnings_excl_bonus,Average Earnings (excl. Bonus),Labor,claimant_count_change,Claimant Count Change,Labor,2,-0.455909917942123,0.455909917942123,71,6,1,0.0012639993961200081,True
RBA,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),Inflation,producer_price_index_yoy,Producer Price Index (YoY),Inflation,1,0.914779907397062,0.914779907397062,23,4,1,0.00149551722741997,True
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,import_prices_mom,Import Prices (MoM),Inflation,6,0.6542880596144094,0.6542880596144094,29,5,1,0.0015623592203992853,True
FED,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_mom,PPI (MoM),Inflation,5,0.7294591497003234,0.7294591497003234,28,5,1,0.0015858414182580007,True
RBA,cpi_headline_qoq,Headline CPI (QoQ),Inflation,import_price_index_qoq,Import Price Index (QoQ),Inflation,3,0.6892012935401266,0.6892012935401266,21,4,3,0.0021920549951062775,True
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,core_ppi_yoy,Core PPI (YoY),Inflation,3,0.9074538734501614,0.9074538734501614,32,5,1,0.002244907106381504,True
BOE,gdp_yoy,GDP (YoY),Growth,retail_sales_ex_fuel_yoy,Retail Sales Ex Fuel (YoY),Growth,0,0.5822857269186311,0.5822857269186311,72,6,6,0.0023191361981424055,True
RBNZ,participation_rate,Labor Force Participation Rate,Labor,labour_cost_index_yoy,Labour Cost Index (YoY),Labor,0,0.9013883026421741,0.9013883026421741,25,4,3,0.0026901753406435693,True
BOJ,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,6,0.7387940898528161,0.7387940898528161,67,6,1,0.0026922639152243038,True
BOJ,gdp_qoq,GDP (QoQ),Growth,retail_sales_yoy,Retail Sales (YoY),Growth,0,0.551843888303265,0.551843888303265,24,4,2,0.002775889403309375,True
FED,core_cpi_yoy,Core CPI (YoY),Inflation,export_prices_mom,Export Prices (MoM),Inflation,6,0.7017396603511891,0.7017396603511891,28,5,1,0.002819032438221599,True
RBNZ,unemployment_rate,Unemployment Rate,Labor,labour_cost_index_yoy,Labour Cost Index (YoY),Labor,6,0.8845453405334797,0.8845453405334797,19,4,2,0.002826785857974837,True
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,core_ppi_yoy,Core PPI (YoY),Inflation,1,0.946594352255749,0.946594352255749,34,5,1,0.0031391839639681816,True
RBA,rba_trimmed_mean_cpi_qoq,RBA Trimmed Mean CPI (QoQ),Inflation,import_price_index_qoq,Import Price Index (QoQ),Inflation,3,0.784179144826948,0.784179144826948,22,4,3,0.003284241190112661,True
RBA,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),Inflation,producer_price_index_yoy,Producer Price Index (YoY),Inflation,1,0.91113399548679,0.91113399548679,24,4,1,0.00334246076302886,True
RBA,rba_trimmed_mean_cpi_qoq,RBA Trimmed Mean CPI (QoQ),Inflation,export_price_index_qoq,Export Price Index (QoQ),Inflation,3,0.6174334697418622,0.6174334697418622,22,4,2,0.0033440414892736874,True
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,4,0.7998562511292655,0.7998562511292655,27,5,1,0.003789960894800517,True
FED,unemployment_rate,Unemployment Rate,Labor,participation_rate,Labor Force Participation Rate,Labor,0,-0.8345479196448112,0.8345479196448112,36,6,5,0.003876353217946936,True
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,consumer_inflation_expectations,Consumer Inflation Expectations,Inflation,1,0.898087726783637,0.898087726783637,33,5,1,0.003921209737150497,True
RBA,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),Inflation,export_price_index_qoq,Export Price Index (QoQ),Inflation,6,0.6427142931337033,0.6427142931337033,18,4,2,0.003941049543778539,True
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,core_ppi_yoy,Core PPI (YoY),Inflation,1,0.9439288046364702,0.9439288046364702,33,5,1,0.003942596064634154,True
