central_bank_code,target_indicator_key,target_indicator,target_category,candidate_indicator_key,candidate_indicator,candidate_category,best_lag_periods,best_lag_correlation,abs_best_lag_correlation,observations
RBA,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),Inflation,import_price_index_qoq,Import Price Index (QoQ),Inflation,3,0.7510138304770456,0.7510138304770456,21
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,core_ppi_mom,Core PPI (MoM),Inflation,5,0.7413964367301645,0.7413964367301645,26
RBA,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),Inflation,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,0,0.7411030213094686,0.7411030213094686,23
BOJ,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,6,0.7387940898528161,0.7387940898528161,67
FED,unemployment_rate,Unemployment Rate,Labor,adp_employment_change,ADP Employment Change,Labor,0,-0.7373595939126923,0.7373595939126923,34
BOJ,cpi_headline_yoy,Headline CPI (YoY),Inflation,cpi_index,Consumer Price Index,Inflation,0,0.7308599180842273,0.7308599180842273,69
BOJ,cpi_ex_food_energy_yoy,CPI Ex Food and Energy (YoY),Inflation,cpi_index,Consumer Price Index,Inflation,6,0.7299742305593864,0.7299742305593864,63
FED,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_mom,PPI (MoM),Inflation,5,0.7294591497003234,0.7294591497003234,28
FED,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,ism_services_employment,ISM Services Employment,Growth,0,0.7286456911562724,0.7286456911562724,25
BOE,gdp_qoq,GDP (QoQ),Growth,retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),Growth,0,0.7278607322492896,0.7278607322492896,24
FED,nfp,Non-Farm Payrolls,Labor,government_payrolls,Government Payrolls,Labor,0,0.7253509590452637,0.7253509590452637,37
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,core_ppi_mom,Core PPI (MoM),Inflation,0,0.7249231040352614,0.7249231040352614,29
