central_bank_code,target_indicator_key,target_indicator,target_category,candidate_indicator_key,candidate_indicator,candidate_category,best_lag_periods,best_lag_correlation,abs_best_lag_correlation,observations
RBA,retail_sales_mom,Retail Sales (MoM),Growth,ai_group_industry_index,Ai Group Industry Index,Growth,0,-0.23801252539131362,0.23801252539131362,26
BOC,gdp_mom,GDP (MoM),Growth,composite_pmi,Composite PMI,Growth,2,0.23511217476418977,0.23511217476418977,24
RBA,retail_sales_mom,Retail Sales (MoM),Growth,housing_credit_mom,Housing Credit (MoM),Growth,6,0.23404271669405075,0.23404271669405075,25
BOC,gdp_mom,GDP (MoM),Growth,services_pmi,Services PMI,Growth,2,0.2285208277235545,0.2285208277235545,25
BOE,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_input_mom,PPI Input (MoM),Inflation,6,0.2219128129755243,0.2219128129755243,60
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,umich_inflation_exp_5y,UMich 5Y Inflation Expectations,Inflation,6,-0.1931954686477924,0.1931954686477924,27
BOE,services_pmi,Services PMI,Growth,retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),Growth,3,-0.18688926991579716,0.18688926991579716,24
BOC,retail_sales_mom,Retail Sales (MoM),Growth,manufacturing_pmi,Manufacturing PMI,Growth,0,0.18387543397088932,0.18387543397088932,46
BOE,retail_sales_yoy,Retail Sales (YoY),Growth,public_sector_net_borrowing,Public Sector Net Borrowing,Growth,5,-0.17778088530550148,0.17778088530550148,63
RBA,retail_sales_mom,Retail Sales (MoM),Growth,manufacturing_pmi,Manufacturing PMI,Growth,1,-0.1734934657842775,0.1734934657842775,46
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,umich_inflation_exp_5y,UMich 5Y Inflation Expectations,Inflation,6,-0.17144546413881168,0.17144546413881168,26
BOC,retail_sales_mom,Retail Sales (MoM),Growth,vehicle_sales_mom,Vehicle Sales (MoM),Growth,0,-0.17126604143929597,0.17126604143929597,19
BOC,core_cpi_yoy,Core CPI (YoY),Inflation,raw_materials_prices_mom,Raw Materials Prices (MoM),Inflation,0,-0.1684182764428581,0.1684182764428581,74
BOJ,gdp_qoq,GDP (QoQ),Growth,exports_yoy,Exports (YoY),Growth,1,-0.16627721448862803,0.16627721448862803,23
BOE,unemployment_rate,Unemployment Rate,Labor,employment_change,Employment Change,Labor,4,-0.15721783399005554,0.15721783399005554,71
BOJ,gdp_qoq,GDP (QoQ),Growth,imports_yoy,Imports (YoY),Growth,5,-0.15040109789052017,0.15040109789052017,19
FED,core_cpi_yoy,Core CPI (YoY),Inflation,umich_inflation_exp_5y,UMich 5Y Inflation Expectations,Inflation,5,0.14731240676040924,0.14731240676040924,28
RBA,retail_sales_mom,Retail Sales (MoM),Growth,private_sector_credit_yoy,Private Sector Credit (YoY),Growth,5,-0.14683325489035948,0.14683325489035948,60
BOC,cpi_headline_yoy,Headline CPI (YoY),Inflation,raw_materials_prices_mom,Raw Materials Prices (MoM),Inflation,0,-0.13281709288829713,0.13281709288829713,74
RBA,retail_sales_mom,Retail Sales (MoM),Growth,ai_group_manufacturing_index,Ai Group Manufacturing Index,Growth,5,0.11712519453612559,0.11712519453612559,55
RBA,retail_sales_mom,Retail Sales (MoM),Growth,ai_group_construction_index,Ai Group Construction Index,Growth,5,0.09419349301338324,0.09419349301338324,55
RBA,cpi_headline_yoy,Headline CPI (YoY),Inflation,consumer_price_index,Consumer Price Index,Inflation,0,0.05445616607376524,0.05445616607376524,18
