central_bank_code,country,indicator_key,indicator,primary_category,frequency,importance,observations,mean,median,std,min,max,skew,first_date,last_date,outlier_iqr_count,range
RBA,AU,current_account,Current Account,Trade,quarterly,2,25,3.516,7.7,13.596711612248995,-21.1,23.9,-0.35618862108224986,2019-10-01,2025-10-01,0,45.0
RBA,AU,exports_mom,Exports (MoM),Trade,monthly,2,75,0.9560000000000001,1.1,4.42881351935134,-11.0,15.0,0.003668739912663615,2019-11-01,2026-02-01,0,26.0
RBA,AU,imports_mom,Imports (MoM),Trade,monthly,2,76,0.4907894736842105,0.75,4.12724856311737,-10.0,12.0,-0.03078805541499088,2019-11-01,2026-02-01,0,22.0
RBNZ,NZ,balance_of_trade,Balance of Trade,Growth,monthly,2,76,-183.13325,-0.493,697.2259009799932,-2447.0,1267.0,-1.483994428260356,2019-12-01,2026-03-01,28,3714.0
RBNZ,NZ,balance_of_trade_mom,Balance of Trade (MoM),Growth,monthly,2,4,-6.5,-102.5,524.4517772557041,-519.0,698.0,0.9221359015075187,2025-12-01,2026-03-01,0,1217.0
RBNZ,NZ,balance_of_trade_yoy,Balance of Trade (YoY),Growth,monthly,2,4,-2675.0,-2655.0,493.1869152089634,-3190.0,-2200.0,-0.08402836143274907,2025-12-01,2026-03-01,0,990.0
RBNZ,NZ,business_confidence,Business Confidence,Growth,monthly,3,75,0.6186666666666666,-3.8,41.81725588904765,-70.2,73.6,0.13523138968786902,2019-10-01,2026-03-01,0,143.8
RBNZ,NZ,capacity_utilization,Capacity Utilization,Growth,quarterly,3,26,91.53846153846153,91.7,3.197383545723214,81.7,97.1,-0.917402853746078,2019-10-01,2026-01-01,0,15.399999999999991
RBNZ,NZ,credit_card_spending_yoy,Credit Card Spending (YoY),Growth,monthly,3,63,4.606349206349206,1.4,14.263385032514739,-12.9,87.4,3.557146222357539,2020-09-01,2026-03-01,7,100.30000000000001
RBNZ,NZ,exports,Exports,Growth,monthly,2,76,5.900263157894737,5.915,0.9045499414024788,4.01,7.94,0.11344415796824807,2019-12-01,2026-03-01,0,3.9300000000000006
RBNZ,NZ,global_dairy_trade_price_index,Global Dairy Trade Price Index,Growth,monthly,2,56,0.3964285714285714,0.45,2.9703972361049185,-6.9,6.7,0.0656777037266197,2024-01-02,2026-04-21,0,13.600000000000001
RBNZ,NZ,imports,Imports,Growth,monthly,2,76,6.275526315789474,6.52,1.167035440463676,1.5,8.54,-1.084515912277772,2019-12-01,2026-03-01,0,7.039999999999999
RBNZ,NZ,milk_auctions,Milk Auctions,Growth,monthly,3,6,4143.333333333333,4185.5,188.8657371432592,3830.0,4330.0,-0.9469894747594045,2026-02-03,2026-04-21,0,500.0
RBNZ,NZ,consumer_price_index,Consumer Price Index,Inflation,quarterly,2,12,514.9333333333333,3.15,633.8445024872689,0.6,1259.0,0.3901402298190915,2022-10-01,2026-01-01,0,1258.4
