central_bank_code,component,indicator_key,indicator,primary_category,loading,abs_loading
BOE,PC3,hmrc_payrolls_change,HMRC Payrolls Change,Labor,-0.3342432743865316,0.3342432743865316
BOE,PC3,avg_earnings_excl_bonus,Average Earnings (excl. Bonus),Labor,0.29159685847372296,0.29159685847372296
BOE,PC3,house_price_index_yoy,House Price Index (YoY),Housing,-0.2558106461273045,0.2558106461273045
BOE,PC3,avg_earnings_incl_bonus,Average Earnings (incl. Bonus),Labor,0.24540551051169157,0.24540551051169157
BOE,PC3,core_cpi_yoy,Core CPI (YoY),Inflation,0.24200817557400317,0.24200817557400317
BOE,PC3,house_price_index_mom,House Price Index (MoM),Housing,-0.21929239646103993,0.21929239646103993
BOE,PC3,core_rpi_mom,Core RPI (MoM),Inflation,0.20966358495277673,0.20966358495277673
BOE,PC3,public_sector_net_borrowing,Public Sector Net Borrowing,Growth,0.20689900895251542,0.20689900895251542
BOE,PC3,nationwide_hpi_yoy,Nationwide House Prices (YoY),Housing,-0.2063446907602015,0.2063446907602015
BOE,PC3,retail_sales_mom,Retail Sales (MoM),Growth,-0.1735213017312006,0.1735213017312006
BOE,PC3,retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),Growth,-0.17336772933449626,0.17336772933449626
BOJ,PC1,tankan_small_manufacturers_index,Tankan Small Manufacturers Index,Sentiment,0.24782375290220016,0.24782375290220016
BOJ,PC1,tankan_large_manufacturing_outlook,Tankan Large Manufacturing Outlook,Sentiment,0.24423008895579443,0.24423008895579443
BOJ,PC1,tankan_large_manufacturers_index,Tankan Large Manufacturers Index,Sentiment,0.23831716982197093,0.23831716982197093
BOJ,PC1,composite_pmi,S&P Global Composite PMI,Growth,0.2360756317683934,0.2360756317683934
BOJ,PC1,leading_economic_index,Leading Economic Index,Growth,0.23200069746641183,0.23200069746641183
BOJ,PC1,tankan_non_manufacturing_outlook,Tankan Non-Manufacturing Outlook,Sentiment,0.22867532862191334,0.22867532862191334
BOJ,PC1,services_pmi,S&P Global Services PMI,Growth,0.2276024113633742,0.2276024113633742
BOJ,PC1,tankan_large_non_manufacturing_index,Tankan Large Non-Manufacturing Index,Sentiment,0.21335805522716392,0.21335805522716392
BOJ,PC1,reuters_tankan_index,Reuters Tankan Index,Sentiment,0.21183158126850538,0.21183158126850538
BOJ,PC1,coincident_index,Coincident Index,Growth,0.20308626972107424,0.20308626972107424
BOJ,PC1,eco_watchers_current,Eco Watchers Survey Current,Sentiment,0.19720622788942468,0.19720622788942468
BOJ,PC1,eco_watchers_outlook,Eco Watchers Survey Outlook,Sentiment,0.18445720111149305,0.18445720111149305
BOJ,PC2,machine_tool_orders_yoy,Machine Tool Orders (YoY),Growth,-0.3153816985389736,0.3153816985389736
BOJ,PC2,cpi_ex_food_energy_yoy,CPI Ex Food and Energy (YoY),Inflation,0.29936855939906104,0.29936855939906104
BOJ,PC2,exports_yoy,Exports (YoY),Growth,-0.2528835815065719,0.2528835815065719
BOJ,PC2,imports_yoy,Imports (YoY),Growth,-0.2522980026779893,0.2522980026779893
BOJ,PC2,manufacturing_pmi,S&P Global Manufacturing PMI,Growth,-0.2500254898605776,0.2500254898605776
BOJ,PC2,ppi_mom,PPI (MoM),Inflation,-0.2423865560154988,0.2423865560154988
BOJ,PC2,cpi_headline_yoy,Headline CPI (YoY),Inflation,0.2423028146893594,0.2423028146893594
BOJ,PC2,core_cpi_yoy,Core CPI (YoY),Inflation,0.23592106603156357,0.23592106603156357
BOJ,PC2,unemployment_rate,Unemployment Rate,Labor,-0.21583799445021543,0.21583799445021543
BOJ,PC2,cpi_index,Consumer Price Index,Inflation,0.2118882974725932,0.2118882974725932
BOJ,PC2,tankan_large_non_manufacturing_index,Tankan Large Non-Manufacturing Index,Sentiment,0.19926340685371893,0.19926340685371893
BOJ,PC2,coincident_index,Coincident Index,Growth,0.19896051287571098,0.19896051287571098
BOJ,PC3,gdp_qoq,GDP (QoQ),Growth,0.3495981542811818,0.3495981542811818
BOJ,PC3,tertiary_industry_index_mom,Tertiary Industry Index (MoM),Growth,0.34317370025125826,0.34317370025125826
BOJ,PC3,capacity_utilization,Capacity Utilization,Growth,0.33026928244834025,0.33026928244834025
BOJ,PC3,industrial_production_mom,Industrial Production (MoM),Growth,0.2989540259049987,0.2989540259049987
BOJ,PC3,retail_sales_mom,Retail Sales (MoM),Growth,0.26630129456197726,0.26630129456197726
BOJ,PC3,household_spending_mom,Household Spending (MoM),Growth,0.23782385471929438,0.23782385471929438
BOJ,PC3,balance_of_trade,Balance of Trade,Growth,0.21337375977877984,0.21337375977877984
BOJ,PC3,eco_watchers_current,Eco Watchers Survey Current,Sentiment,0.2047005807097212,0.2047005807097212
BOJ,PC3,imports_yoy,Imports (YoY),Growth,-0.19743002176785907,0.19743002176785907
BOJ,PC3,unemployment_rate,Unemployment Rate,Labor,0.1665536899220844,0.1665536899220844
BOJ,PC3,ppi_yoy,PPI (YoY),Inflation,-0.16246721412963547,0.16246721412963547
BOJ,PC3,eco_watchers_outlook,Eco Watchers Survey Outlook,Sentiment,0.16047035796063153,0.16047035796063153
ECB,PC1,composite_pmi,Composite PMI,Growth,-0.3867684281633559,0.3867684281633559
ECB,PC1,services_pmi,Services PMI,Growth,-0.37567530645008684,0.37567530645008684
ECB,PC1,unemployment_rate,Unemployment Rate,Labor,-0.3711035434790552,0.3711035434790552
ECB,PC1,core_cpi_yoy,Core HICP (YoY),Inflation,0.34285004012500675,0.34285004012500675
ECB,PC1,consumer_confidence,Consumer Confidence,Sentiment,-0.30708044421092995,0.30708044421092995
ECB,PC1,manufacturing_pmi,Manufacturing PMI,Growth,-0.30229470397423713,0.30229470397423713
ECB,PC1,zew_economic_sentiment,ZEW Economic Sentiment Index,Sentiment,-0.2924408695272612,0.2924408695272612
ECB,PC1,cpi_index,Consumer Price Index,Inflation,0.2800318713794748,0.2800318713794748
ECB,PC1,cpi_headline_yoy,Headline HICP (YoY),Inflation,0.22369111017821755,0.22369111017821755
ECB,PC1,economic_sentiment,Economic Sentiment,Sentiment,-0.13314060248524032,0.13314060248524032
ECB,PC1,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,-0.11497299008631229,0.11497299008631229
ECB,PC1,construction_output_yoy,Construction Output (YoY),Growth,-0.0970305667135235,0.0970305667135235
ECB,PC2,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,-0.5136478377762088,0.5136478377762088
ECB,PC2,cpi_headline_yoy,Headline HICP (YoY),Inflation,-0.4592560903435156,0.4592560903435156
ECB,PC2,cpi_headline_mom,Headline HICP (MoM),Inflation,-0.3774808594230369,0.3774808594230369
ECB,PC2,zew_economic_sentiment,ZEW Economic Sentiment Index,Sentiment,0.3356168132550795,0.3356168132550795
ECB,PC2,core_cpi_yoy,Core HICP (YoY),Inflation,-0.22576169767264764,0.22576169767264764
ECB,PC2,manufacturing_pmi,Manufacturing PMI,Growth,-0.21796746161452618,0.21796746161452618
ECB,PC2,cpi_index,Consumer Price Index,Inflation,0.20905354655626468,0.20905354655626468
ECB,PC2,consumer_confidence,Consumer Confidence,Sentiment,0.19434384394983686,0.19434384394983686
ECB,PC2,composite_pmi,Composite PMI,Growth,-0.1517355207271258,0.1517355207271258
ECB,PC2,services_pmi,Services PMI,Growth,-0.15097699335747577,0.15097699335747577
ECB,PC2,construction_output_yoy,Construction Output (YoY),Growth,-0.13105840982053746,0.13105840982053746
ECB,PC2,economic_sentiment,Economic Sentiment,Sentiment,-0.11652030518176802,0.11652030518176802
ECB,PC3,construction_output_yoy,Construction Output (YoY),Growth,0.5252143092080225,0.5252143092080225
ECB,PC3,economic_sentiment,Economic Sentiment,Sentiment,0.4192522596323578,0.4192522596323578
ECB,PC3,gdp_qoq,GDP (QoQ),Growth,0.4122818182851361,0.4122818182851361
ECB,PC3,manufacturing_pmi,Manufacturing PMI,Growth,0.29696346543333146,0.29696346543333146
ECB,PC3,cpi_index,Consumer Price Index,Inflation,0.28322075709896904,0.28322075709896904
ECB,PC3,consumer_confidence,Consumer Confidence,Sentiment,0.19713339825311144,0.19713339825311144
ECB,PC3,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,-0.17902876565819226,0.17902876565819226
ECB,PC3,core_cpi_yoy,Core HICP (YoY),Inflation,0.17292226580539152,0.17292226580539152
ECB,PC3,composite_pmi,Composite PMI,Growth,-0.1504443460823395,0.1504443460823395
ECB,PC3,cpi_headline_yoy,Headline HICP (YoY),Inflation,0.14908252887978307,0.14908252887978307
ECB,PC3,zew_economic_sentiment,ZEW Economic Sentiment Index,Sentiment,0.1470713932758489,0.1470713932758489
ECB,PC3,unemployment_rate,Unemployment Rate,Labor,-0.1308829353952686,0.1308829353952686
FED,PC1,pce_prices_qoq,PCE Prices (QoQ),Inflation,-0.19558651137559838,0.19558651137559838
FED,PC1,core_pce_prices_qoq,Core PCE Prices (QoQ),Inflation,-0.18688672830451017,0.18688672830451017
FED,PC1,import_prices_yoy,Import Prices (YoY),Inflation,-0.1792315315874171,0.1792315315874171
FED,PC1,ppi_yoy,PPI (YoY),Inflation,-0.1788593287047309,0.1788593287047309
FED,PC1,core_cpi_mom,Core CPI (MoM),Inflation,-0.1772916426165493,0.1772916426165493
FED,PC1,pce_price_index_mom,PCE Price Index (MoM),Inflation,-0.17647333544931948,0.17647333544931948
FED,PC1,cpi_headline_mom,Headline CPI (MoM),Inflation,-0.17626656830446494,0.17626656830446494
FED,PC1,challenger_job_cuts,Challenger Job Cuts,Labor,0.17544747716201167,0.17544747716201167
FED,PC1,core_ppi_yoy,Core PPI (YoY),Inflation,-0.173587180509985,0.173587180509985
FED,PC1,ism_manufacturing_employment,ISM Manufacturing Employment,Growth,-0.17262195761652402,0.17262195761652402
FED,PC1,export_prices_yoy,Export Prices (YoY),Inflation,-0.1689640082423053,0.1689640082423053
FED,PC1,pce_price_index_yoy,PCE Price Index (YoY),Inflation,-0.16554010443676634,0.16554010443676634
FED,PC2,fed_interest_rate_decision,Fed Interest Rate Decision,Monetary Policy,0.27124057442157407,0.27124057442157407
FED,PC2,cpi_index,CPI Index,Inflation,0.27004696278593654,0.27004696278593654
FED,PC2,sp_global_manufacturing_pmi,S&P Global Manufacturing PMI,Growth,-0.26445403460365147,0.26445403460365147
FED,PC2,average_weekly_hours,Average Weekly Hours,Labor,-0.2423310205982268,0.2423310205982268
FED,PC2,participation_rate,Labor Force Participation Rate,Labor,0.23851937639758714,0.23851937639758714
FED,PC2,sp_global_composite_pmi,S&P Global Composite PMI,Growth,-0.23190538304107272,0.23190538304107272
FED,PC2,sp_global_services_pmi,S&P Global Services PMI,Growth,-0.2203253641162483,0.2203253641162483
FED,PC2,umich_consumer_sentiment,UMich Consumer Sentiment,Sentiment,-0.21337221560587422,0.21337221560587422
FED,PC2,unemployment_rate,Unemployment Rate,Labor,-0.20540949914613502,0.20540949914613502
FED,PC2,umich_inflation_exp_5y,UMich 5Y Inflation Expectations,Inflation,0.18889451184967487,0.18889451184967487
FED,PC2,continuing_jobless_claims,Continuing Jobless Claims,Labor,-0.18818890122709123,0.18818890122709123
FED,PC2,cpi_sa_index,CPI SA Index,Inflation,0.18680588740284654,0.18680588740284654
FED,PC3,core_cpi_yoy,Core CPI (YoY),Inflation,0.2301013050285981,0.2301013050285981
FED,PC3,nfib_business_optimism,NFIB Business Optimism Index,Sentiment,-0.22953536011222814,0.22953536011222814
FED,PC3,employment_cost_index_qoq,Employment Cost Index (QoQ),Labor,0.21568640479353274,0.21568640479353274
FED,PC3,employment_cost_wages_qoq,Employment Cost - Wages (QoQ),Labor,0.20657450100692398,0.20657450100692398
FED,PC3,consumer_inflation_expectations,Consumer Inflation Expectations,Inflation,0.20191746753140494,0.20191746753140494
FED,PC3,cpi_headline_yoy,Headline CPI (YoY),Inflation,0.19681431878109207,0.19681431878109207
FED,PC3,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,0.19413937002778708,0.19413937002778708
FED,PC3,avg_hourly_earnings_mom,Average Hourly Earnings (MoM),Labor,0.1916399285961332,0.1916399285961332
FED,PC3,pce_price_index_yoy,PCE Price Index (YoY),Inflation,0.18510219782095985,0.18510219782095985
FED,PC3,philly_fed_mfg,Philadelphia Fed Manufacturing Index,Growth,-0.18503121885194876,0.18503121885194876
FED,PC3,cpi_sa_index,CPI SA Index,Inflation,-0.1848307923108634,0.1848307923108634
FED,PC3,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,0.18424629342052368,0.18424629342052368
RBA,PC1,producer_price_index_yoy,Producer Price Index (YoY),Inflation,0.29561882158306263,0.29561882158306263
RBA,PC1,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),Inflation,0.29037488103995285,0.29037488103995285
RBA,PC1,rba_trimmed_mean_cpi_qoq,RBA Trimmed Mean CPI (QoQ),Inflation,0.28274021850543146,0.28274021850543146
RBA,PC1,unemployment_rate,Unemployment Rate,Labor,-0.2756138622458076,0.2756138622458076
RBA,PC1,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),Inflation,0.27224530312354656,0.27224530312354656
RBA,PC1,cpi_headline_yoy,Headline CPI (YoY),Inflation,0.271121537222668,0.271121537222668
RBA,PC1,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),Inflation,0.2612950537863377,0.2612950537863377
RBA,PC1,private_sector_credit_yoy,Private Sector Credit (YoY),Growth,0.25984111219564254,0.25984111219564254
RBA,PC1,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,0.25646398217885574,0.25646398217885574
RBA,PC1,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,0.2264625412710353,0.2264625412710353
RBA,PC1,cpi_headline_qoq,Headline CPI (QoQ),Inflation,0.20759380712142547,0.20759380712142547
RBA,PC1,private_sector_credit_mom,Private Sector Credit (MoM),Growth,0.16298974472505884,0.16298974472505884
RBA,PC2,manufacturing_pmi,Manufacturing PMI,Growth,-0.30764204423777997,0.30764204423777997
RBA,PC2,ai_group_construction_index,Ai Group Construction Index,Growth,-0.2948634732094977,0.2948634732094977
RBA,PC2,ai_group_manufacturing_index,Ai Group Manufacturing Index,Growth,-0.2863480543502006,0.2863480543502006
RBA,PC2,corelogic_dwelling_prices_mom,CoreLogic Dwelling Prices (MoM),Housing,0.25773197275349014,0.25773197275349014
RBA,PC2,ai_group_services_index,Ai Group Services Index,Growth,-0.2538551812410303,0.2538551812410303
RBA,PC2,monthly_cpi_indicator,Monthly CPI Indicator,Inflation,-0.2526964058736206,0.2526964058736206
RBA,PC2,commodity_prices_yoy,Commodity Prices (YoY),Inflation,-0.25125963536432466,0.25125963536432466
RBA,PC2,current_account,Current Account,Trade,-0.23628285434058816,0.23628285434058816
RBA,PC2,export_price_index_qoq,Export Price Index (QoQ),Inflation,-0.2361362128161683,0.2361362128161683
RBA,PC2,westpac_consumer_confidence_index,Westpac Consumer Confidence Index,Sentiment,-0.22060729150744193,0.22060729150744193
RBA,PC2,cpi_headline_qoq,Headline CPI (QoQ),Inflation,-0.20013228614771017,0.20013228614771017
RBA,PC2,import_price_index_qoq,Import Price Index (QoQ),Inflation,-0.19341990165665027,0.19341990165665027
