central_bank_code,component,indicator_key,indicator,primary_category,loading,abs_loading
SNB,PC2,gdp_qoq,GDP (QoQ),Growth,-0.35551781399131455,0.35551781399131455
SNB,PC2,retail_sales_yoy,Retail Sales (YoY),Growth,-0.34323440732647714,0.34323440732647714
SNB,PC2,cpi_headline_mom,Headline CPI (MoM),Inflation,-0.31526571949080595,0.31526571949080595
SNB,PC2,economic_sentiment_index,Economic Sentiment Index,Sentiment,-0.21957681570711834,0.21957681570711834
SNB,PC2,balance_of_trade,Balance of Trade,Growth,-0.12775092956731238,0.12775092956731238
SNB,PC2,cpi_headline_yoy,Headline CPI (YoY),Inflation,-0.11650375197065127,0.11650375197065127
SNB,PC2,retail_sales_mom,Retail Sales (MoM),Growth,-0.11401681966237603,0.11401681966237603
SNB,PC2,unemployment_rate,Unemployment Rate,Labor,-0.05224631908444899,0.05224631908444899
SNB,PC3,retail_sales_mom,Retail Sales (MoM),Growth,-0.7011432682807085,0.7011432682807085
SNB,PC3,retail_sales_yoy,Retail Sales (YoY),Growth,-0.5032961671292822,0.5032961671292822
SNB,PC3,consumer_confidence,Consumer Confidence,Sentiment,0.29211127773736834,0.29211127773736834
SNB,PC3,balance_of_trade,Balance of Trade,Growth,0.2539915897582966,0.2539915897582966
SNB,PC3,gdp_qoq,GDP (QoQ),Growth,-0.1902028867711137,0.1902028867711137
SNB,PC3,producer_import_prices_mom,Producer & Import Prices (MoM),Inflation,0.15231741957961503,0.15231741957961503
SNB,PC3,producer_import_prices_yoy,Producer & Import Prices (YoY),Inflation,0.1448834317422907,0.1448834317422907
SNB,PC3,unemployment_rate,Unemployment Rate,Labor,0.0910577424855739,0.0910577424855739
SNB,PC3,economic_sentiment_index,Economic Sentiment Index,Sentiment,0.08387328667561329,0.08387328667561329
SNB,PC3,cpi_headline_mom,Headline CPI (MoM),Inflation,0.07561163459559032,0.07561163459559032
SNB,PC3,cpi_headline_yoy,Headline CPI (YoY),Inflation,-0.061952046300975616,0.061952046300975616
